source,target,weight
international journal of std  aids,psychological review,2
asiapacific journal of sports medicine arthroscopy rehabilitation and technology,cochrane database of systematic reviews,2
history compass,south asian history and culture,2
bmc evolutionary biology,current opinion in neurobiology,2
asiapacific journal of sports medicine arthroscopy rehabilitation and technology,clinics in sports medicine,2
asiapacific journal of sports medicine arthroscopy rehabilitation and technology,clinical orthopaedics and related research,2
bmc evolutionary biology,current pharmaceutical design,2
bmc evolutionary biology,current problems in pediatric and adolescent health care,2
review of international studies,west european politics,2
review of international studies,war in history,2
asiapacific journal of sports medicine arthroscopy rehabilitation and technology,bmj,2
bmc evolutionary biology,current sleep medicine reports,2
review of international studies,urban studies,2
american political science review,ids bulletin,2
review of international studies,transactions of the institute of british geographers,2
bmc evolutionary biology,curtiss botanical magazine,2
bmc evolutionary biology,disease models  mechanisms,2
bmc evolutionary biology,diversity and distributions,2
international journal of std  aids,sex roles,2
bmc evolutionary biology,dobutsugaku zasshi zoological magazine,2
american journal of neuroradiology,nature neuroscience,2
american political science review,international journal of forecasting,2
american political science review,international journal of game theory,2
asiapacific journal of public health,trials,2
asiapacific journal of public health,thorax,2
international journal of std  aids,the gerontologist,2
international journal of std  aids,the hastings center report,2
history compass,online opinion australias ejournal of social and political debate,2
bmc evolutionary biology,endoscopy,2
international journal of std  aids,the international journal on drug policy,2
history compass,nottingham medieval studies,2
bmc evolutionary biology,entomologica scandinavica,2
asiapacific journal of public health,the journal of clinical endocrinology and metabolism,2
history compass,nomina,2
american political science review,international journal of human movement and sports sciences,2
bmc evolutionary biology,entomologist,2
bmc evolutionary biology,entomologists monthly magazine,2
bmc evolutionary biology,entomophaga,2
bmc evolutionary biology,environ biol fish,2
bmc evolutionary biology,environ microbiol,2
history compass,neophilologus,2
acoustical society of america,current biology,2
review of international organizations,world trade review,2
asiapacific journal of public health,the hong kong practitioners,2
review of international organizations,the world economy,2
asiapacific journal of public health,vaccine,2
bmc evolutionary biology,embo j,2
asiapacific journal of public health,work,2
american political science review,international journal,2
american journal of neuroradiology,neurocritical care society,2
american journal of neuroradiology,neurocritical care,2
bmc evolutionary biology,drug and alcohol dependence,2
bmc evolutionary biology,dumbarton oaks papers,2
bmc evolutionary biology,earth science frontiers,2
review of international studies,st antonys international review,2
review of international studies,soviet life,2
american political science review,inquiry,2
review of international studies,social studies of science,2
review of international studies,social justice,2
american political science review,international encyclopedia of the social  behavioral sciences,2
american political science review,international journal of comparative sociology,2
review of international political economy,world development,2
asiapacific journal of regional science,current rheumatology reports,2
review of international studies,security dialogue,2
asiapacific journal of regional science,crop and pasture science,2
bmc evolutionary biology,ecos csiro magazine,2
review of international studies,saga,2
review of international studies,ruling the world power politics and the rise of supranational institutions,2
bmc evolutionary biology,egypt j genet cytol,2
review of international studies,review of politics,2
asiapacific journal of public health,world journal of surgery,2
international journal of std  aids,the british journal of dermatology,2
review of international political economy,world politics,2
american political science review,journal for the education of the gifted,2
asiapacific journal of public health,middle east journal of business,2
international journal of stress management,military psychology,2
review of general psychology,speculum,2
american journal of neuroradiology,medicine,2
review of general psychology,sociology compass,2
asiapacific journal of public health,environmental health,2
history and theory,third world quarterly,2
asiapacific journal of public health,endocrinerelated cancer,2
asiapacific journal of public health,emergency medicine australasia,2
international journal of stress management,journal of anxiety disorders,2
review of general psychology,sociological perspectives,2
review of general psychology,sociological analysis,2
international journal of stress management,journal of applied management and entrepreneurship,2
history and theory,the western political quarterly,2
bmc evolutionary biology,human reproduction,2
bmc evolutionary biology,humangenetik,2
international journal of stress management,journal of behavioral medicine,2
acoustical society of america journal,ieee transactions on audio speech and language processing,2
history and theory,the review of politics,2
asiapacific journal of public health,current opinion in infectious diseases,2
bmc evolutionary biology,ices journal of marine science,2
review of general psychology,social science quarterly,2
bmc evolutionary biology,ichthyological explorations of freshwaters,2
bmc evolutionary biology,identity in the information society,2
international journal of stress management,journal of humanistic psychology,2
bmc evolutionary biology,iea paper,2
acoustical society of america journal,journal of anatomy,2
review of general psychology,social psychology,2
american journal of neuroradiology,methodist debakey cardiovascular journal,2
international journal of stress management,international journal of yoga therapy,2
review of general psychology,social psychiatry and psychiatric epidemiology,2
review of general psychology,sport education and society,2
review of general psychology,the american naturalist,2
history australia,labour history,2
review of general psychology,the american journal of psychiatry,2
review of general psychology,the american historical review,2
history australia,interventions,2
review of general psychology,tex l rev,2
history australia,history australia,2
review of general psychology,telos,2
history archives,voprosy literatury,2
international journal of strategic management,long range planning,2
history and theory,zoo biology,2
international journal of strategic management,management accounting research,2
bmc evolutionary biology,himalayan geology,2
history and theory,womanart,2
bmc evolutionary biology,histochemistry and cell biology,2
bmc evolutionary biology,historia natural tercera serie,2
bmc evolutionary biology,historia naturalis bulgarica,2
asiapacific journal of public health,european journal of cancer,2
review of general psychology,stata journal,2
bmc evolutionary biology,history and theory,2
bmc evolutionary biology,history in africa,2
bmc evolutionary biology,history workshop journal,2
acoustical society of america journal,human molecular genetics,2
review of general psychology,stanford law review,2
bmc evolutionary biology,homo journal of comparative human biology,2
international journal of stress management,journal of managerial issues,2
review of general psychology,social problems,2
history compass,journal asiatique,2
history and theory,the classical journal,2
acoustical society of america journal,neuron,2
acoustical society of america journal,neuroscience  biobehavioral reviews,2
american political science review,journal of conflict solutions,2
review of general psychology,science fiction weekly,2
asiapacific journal of public health,cancer,2
review of general psychology,science education,2
review of general psychology,science communication,2
bmc evolutionary biology,int j primatol,2
history and theory,the british journal for the philosophy of science,2
history and theory,the british journal for the history of science,2
history and theory,the americas,2
history and theory,the american journal of islamic social sciences,2
bmc evolutionary biology,integr comp biol,2
bmc evolutionary biology,integrated pest management reviews,2
history and theory,the american journal of digestive diseases,2
bmc evolutionary biology,integrative biology,2
asiapacific journal of public health,ca,2
asiapacific journal of public health,bulletin of the world health organization,2
acoustical society of america journal,philosophical transactions of the royal society of london series b biological sciences,2
history and theory,speech music and hearing quarterly progress and status report,2
bmc evolutionary biology,interface focus,2
bmc evolutionary biology,international archives of allergy and immunology,2
american political science review,journal of consulting and clinical psychology,2
bmc evolutionary biology,international geology review,2
bmc evolutionary biology,international immunology,2
review of general psychology,scientific american mind,2
bmc evolutionary biology,insects,2
asiapacific journal of public health,cochrane database of systematic reviews,2
asiapacific journal of public health,cancer epidemiology biomarkers  prevention,2
acoustical society of america journal,journal of experimental psychology general,2
bmc evolutionary biology,immunol rev,2
acoustical society of america journal,journal of heredity,2
review of general psychology,social forces,2
history and theory,the journal of politics,2
acoustical society of america journal,journal of research in music education,2
history and theory,the journal of philosophy,2
history and theory,the journal of interdisciplinary history,2
history and theory,the journal of ecclesiastical history,2
review of general psychology,small group research,2
review of general psychology,small business economics,2
bmc evolutionary biology,indian journal of experimental biology,2
international journal of stress management,journal of service research,2
review of general psychology,sexuality research  social policy,2
review of general psychology,sexuality  culture,2
acoustical society of america journal,journal of the audio engineering society,2
acoustical society of america journal,language and speech,2
bmc evolutionary biology,inner asia,2
bmc evolutionary biology,inquiry,2
history and theory,the european legacy,2
acoustical society of america journal,memory  cognition,2
american political science review,journal of cold war studies,2
history and theory,the economist,2
acoustical society of america journal,music education research,2
bmc evolutionary biology,insect systematics and evolution,2
history australia,meanjin,2
history australia,museological,2
bmc evolutionary biology,harvard international law journal,2
review of general psychology,the stanford encyclopedia of philosophy spring 2011 edition,2
american political science review,journal of african conflicts and peace studies,2
asiapacific journal of public health,journal of personality and social psychology,2
international journal of stem education,nucleic acids res,2
history compass,intelligence and national security,2
international journal of stem education,plos computational biology,2
bmc evolutionary biology,genes to cells,2
asiapacific journal of public health,journal of immigrant and minority health,2
review of general psychology,the quarterly journal of economics,2
bmc evolutionary biology,genetical research,2
american political science review,journal of american folklore,2
acoustical society of america journal,acta acustica united with acustica,2
american political science review,journal of animal ecology,2
asiapacific journal of public health,journal of epidemiology and community health,2
bmc evolutionary biology,genetics research international,2
asiapacific journal of public health,journal of environment and health,2
bmc evolutionary biology,genewatch,2
asiapacific journal of public health,journal of clinical oncology,2
international journal of stem education,the american indian graduate,2
american political science review,journal of applied communication research,2
review of general psychology,the netherlands journal of medicine,2
asiapacific journal of public health,journal of affective disorders,2
history compass,history of psychiatry,2
review of general psychology,the leadership quarterly,2
review of general psychology,the lancet psychiatry,2
review of general psychology,the journals of gerontology series b psychological sciences and social sciences,2
asiapacific journal of public health,journal of political economy,2
bmc evolutionary biology,gayana,2
review of general psychology,the american statistician,2
bmc evolutionary biology,gastroenterology review,2
review of general psychology,trials,2
review of general psychology,trends in neurosciences,2
international journal of std and aids,social science and medicine,2
review of general psychology,trends in ecology and evolution,2
acoustical society of america,the auk,2
history compass,isis,2
review of general psychology,trends cogn sci,2
asiapacific journal of public health,mayo clinic proceedings,2
asiapacific journal of public health,management science,2
history compass,international social science review,2
bmc evolutionary biology,frontiers in molecular biosciences,2
american political science review,journal of adolescence,2
bmc evolutionary biology,frontiers in neuroscience,2
asiapacific journal of public health,journal of travel medicine,2
review of general psychology,transactions of the institute of british geographers,2
history compass,international perspectives on sexual and reproductive health,2
