source,target,weight
freiberger forschungshefte c 550,peerj,20
international political science review,journal of democracy,20
environmental research letters,science advances,20
annals of carnegie museum,russian entomological journal,20
arch sex behav,journal of personality and social psychology,20
cancer research,scientific american,20
evolution and human behavior,journal of experimental social psychology,20
integrative organismal biology,paleontological journal,20
bmj,physical review letters,20
bioinformatics,molecular cancer research,20
animal behaviour,psyche,20
bird conservation international,bulletin of the british ornithologists club,20
alcheringa an australasian journal of palaeontology,philosophical transactions of the royal society a mathematical physical and engineering sciences,20
applied clay science,european journal of soil science,20
j rheumatol,rheumatology oxford,20
clinical psychology  psychotherapy,journal of personality and social psychology,20
annals of the new york academy of sciences,bmj open,20
j clin pharmacol,obstet gynecol,20
human evolution,journal of human evolution,20
journal of womens health,obstetrics  gynecology,20
cardiovascular research,circulation cardiovascular genetics,20
scientific reports,the journal of foraminiferal research,20
journal of paleontology,revista de biologxeda tropical,20
american journal of medical genetics part c seminars in medical genetics,journal of biological chemistry,20
bmj,nature news,20
am j hematol,br j haematol,20
somatosensory  motor research,the journal of neuroscience,20
dna cell biol,hum genet,20
journal of alzheimers disease,the journal of clinical psychiatry,20
global geology,vertebrate anatomy morphology palaeontology,20
advances in autism,journal of autism and developmental disorders,20
j chem soc dalton trans,scottish journal of theology,20
bmj,curr psychiatry rep,20
current biology,journal of insect science,20
lancet,psychological reports,20
applied clay science,catena,20
lancet,psychological science in the public interest,20
bmc complementary and alternative medicine,homeopathy,20
applied clay science,clay minerals,20
ethology and sociobiology,journal of theoretical biology,20
biometrika,phys rev e,20
ethnomusicology,man,20
nature reviews neuroscience,the journal of nervous and mental disease,20
journal of palestine studies,the journal of modern history,20
annals of carnegie museum,review of palaeobotany and palynology,20
human relations,the leadership quarterly,20
journal of physics a,journal of physics b,20
acta obstetricia et gynecologica scandinavica,new england journal of medicine,20
free radical biology and medicine,the american journal of clinical nutrition,20
journal of alzheimers disease,the biochemical journal,20
archives of otolaryngologyu2013head  neck surgery,current opinion in otolaryngology  head and neck surgery,20
global heart,lancet,20
journal of climate,usaid,20
j reprod fertil,wildl res,20
evolution and human behavior,journal of consumer research,20
palz,science reports of niigata university geology,20
international journal of fatigue,international journal of fatigue,20
cardiovascular pathology,circulation,20
nature genetics,stem cells and development,20
annals of the new york academy of sciences,british journal of haematology,20
palz,revista mexicana de ciencias geolxf3gicas,20
biochim biophys acta,mol genet metab,20
plant and soil,water,20
human relations,sex roles,20
critical reviews in clinical laboratory sciences,pnas,20
applied cognitive psychology,journal of forensic sciences,20
j clin periodontol,j periodontol,20
bmj,pediatric nephrology,20
ethology,zeitschrift fxfcr tierpsychologie,20
current biology,j comp neurol,20
alcohol,bmj,20
ethology,trends in ecology  evolution,20
palz,studi e ricerche sui giacimenti terziari di bolca xix  miscellanea paleontologica,20
arch sex behav,journal of sex research,20
the auk,vertebrate anatomy morphology palaeontology,20
journal of general internal medicine,resuscitation,20
chemical reviews,j am soc mass spectrom,20
herbertia,molecular phylogenetics and evolution,20
current biology,journal of comparative physiology,20
scientific reports,the journal of pharmacology and experimental therapeutics,20
bioinformatics,nature chemical biology,20
human factors,journal of the american medical informatics association,20
clinical genetics,nature medicine,20
j am chem soc,journal of natural products,20
journal of experimental biology,journal of insect behavior,20
environmental monitoring and assessment,pnas,20
palaeogeography palaeoclimatology palaeoecology,transactions of the royal society of south africa,20
nature genetics,schizophr bull,20
annual review of pathology,cell,20
bmj,pharmacological reviews,20
annals of the rheumatic diseases,clinical rheumatology,20
free radical biology  medicine,journal of molecular evolution,20
journal of clinical oncology,leukemia,20
resuscitation,science,20
chemical reviews,industrial  engineering chemistry research,20
international journal of systematic and evolutionary microbiology,journal of food protection,20
african zoology,nature,20
alcheringa an australasian journal of palaeontology,quarterly journal of the geological society of london,20
immunology and allergy clinics of north america,the new england journal of medicine,20
annals of the rheumatic diseases,clinical endocrinology,20
brazilian journal of biology,pnas,20
