source,target,weight
arch pathol anat phys klin med,international journal of laboratory hematology,2
food webs,pnas,2
neurodegenerative diseases,world population prospects the 2006 revision,2
chem sci,journal of chemical education,2
food webs,plos one,2
arch pathol anat phys klin med,cell,2
neurodegenerative diseases,trends in pharmacological sciences,2
neurodegenerative diseases,trends in neurosciences,2
chem sci,journal of industrial microbiology  biotechnology,2
food webs,papxe9is avulsos de zoologia,2
neurodegenerative diseases,traffic,2
food webs,nature,2
neurodegenerative diseases,the quarterly journal of nuclear medicine and molecular imaging,2
neurodegenerative diseases,the plant cell,2
food webs,molecular ecology,2
neurodegenerative diseases,the neurologist,2
chem sci,journal of the chemical society perkin transactions 1,2
neurodegenerative diseases,the journals of gerontology series b psychological sciences and social sciences,2
neurodegenerative diseases,the journals of gerontology series a biological sciences and medical sciences,2
neurodegenerative diseases,the journal of pharmacology and experimental therapeutics,2
neurodegenerative diseases,the journal of nutrition health  aging,2
chem sci,langmuir,2
neurodegenerative diseases,the journal of immunology,2
chem sci,matrix biol,2
acta univ apulensis math inform,journal of artificial intelligence research,2
neurodegenerative diseases,the international journal of neuroscience,2
chem rev,wear,2
chem rev,viruses,2
chem rev,proceedings of the nutrition society,2
chem rev,scand j urol,2
american family physician,int j vitam nutr res,2
american family physician,int j ther massage bodywork,2
chem rev,rev mod phys,2
neuroendocrinology,sports medicine,2
american family physician,int j rheum dis,2
neuroendocrinology,sleep medicine,2
chem rev,rsc adv,2
chem rev,russ chem bull,2
american family physician,int j plant sci,2
neuroendocrinology,singapore medical journal,2
neuroendocrinology,seminars in reproductive medicine,2
chem rev,russian chemical reviews,2
acta tropica,zentralblatt fxfcr bakteriologie parasitenkunde infektionskrankheiten und hygiene,2
arch pathol lab med,bju international,2
chem rev,regulatory toxicology and pharmacology,2
neuroendocrinology,science signaling,2
chem rev,science in china series b chemistry,2
neuroendocrinology,science advances,2
neuroendocrinology,schweizerische medizinische wochenschrift,2
foodborne pathogens and disease,the journal of economic history,2
neuroendocrinology,scandinavian journal of gastroenterology,2
neuroendocrinology,rinsho shinkeigaku  clinical neurology,2
chem rev,semin thromb hemost,2
american family physician,int j obes lond,2
neuroendocrinology,research in social  administrative pharmacy,2
animal behaviour monographs,the quarterly review of biology,2
neuroendocrinology,regulatory peptides,2
chem rev,struct bond,2
american family physician,int j womens health,2
foodmanufacturecouk,surrey mirror,2
neuroendocrinology,obstet gynecol clin north am,2
chem rev,prz menopauzalny,2
foods,international journal of medicinal mushrooms,2
foods,international journal of food science  technology,2
foods,int j food sci nutr,2
neuroendocrinology,the eurasian journal of medicine,2
chem rev,progress in biophysics and molecular biology,2
neuroendocrinology,the embo journal,2
chem rev,progress in polymer science,2
chem rev,progress in surface science,2
acta tropica,who malaria publications,2
arch pathol lab med,br med j,2
neuroendocrinology,the british journal of dermatology,2
chem rev,protein eng,2
acta tropica,wkly epidemiol rec,2
acta tropica,world archaeology,2
chem rev,record of chemical progress,2
arch pathol lab med,br j radiol,2
neuroendocrinology,the american journal of drug and alcohol abuse,2
arch pathol lab med,br j pharmacol,2
neuroendocrinology,the american journal of clinical nutrition,2
chem rev,quantitative structureactivity relationships,2
chem rev,quart rev biophys,2
foodnahrung,journal of food science,2
chem rev,quim nova,2
chem rev,radiation research,2
chem rev,radiochimica acta,2
neuroendocrinology,surgical laparoscopy endoscopy  percutaneous techniques,2
neuroendocrinology,surgery gynecology  obstetrics,2
chem rev,recl trav chim paysbas,2
acta tropica,zoological journal of the linnean society,2
john marshall journal of information technology and privacy law,journal of occupational and environmental hygiene,2
chem rev,surface science reports,2
neuroendocrinology,pediatric endocrinology reviews,2
neuroendocrinology,pigment cell research,2
neuroendocrinology,physiol genomics,2
neuroendocrinology,pharmazie,2
neuroendocrinology,pharmacology,2
arch pathol anatomie physiol klin med,plos one,2
neuroendocrinology,pharmacological research,2
chem rev,theoretical chemistry accounts,2
animal behaviour monographs rutgers university,folia primatologica international journal of primatology,2
neuroendocrinology,pharmacol rev,2
neuroendocrinology,pharmaceuticals,2
chem rev,thyroid,2
chem rev,tissue and cell,2
john marshall review of intellectual property law,museum international unesco publishing and blackwell publishing ltd,2
chem rev,topics in current chemistry,2
foodborne pathogens and disease,new england journal of medicine,2
neuroendocrinology,panminerva medica,2
chem rev,toxins,2
chem rev,trac trends in analytical chemistry,2
chem rev,transactions of the faraday society,2
neuroendocrinology,paediatric drugs,2
neuroendocrinology,orphanet journal of rare diseases,2
chem rev,trends anal chem,2
chem rev,trends biochem sci,2
chem rev,trends in ecology  evolution,2
chem rev,trends in pharmacological sciences,2
foodborne pathogens and disease,infect immun,2
neuroendocrinology,obstetrics  gynecology,2
neuroendocrinology,obstet gynecol sci,2
chem rev,the journal of steroid biochemistry and molecular biology,2
neuroendocrinology,pituitary,2
chem rev,the journal of physical chemistry letters,2
chem rev,the journal of physical chemistry b,2
acta tropica,zootaxa,2
neuroendocrinology,psychological bulletin,2
acta tuberc scand suppl,arch dermatol,2
neuroendocrinology,psychiatric services,2
chem rev,technology review,2
arch pathol lab med,archives of surgery,2
chem rev,tex heart inst j,2
chem rev,the american journal of clinical nutrition,2
neuroendocrinology,prostate,2
john marshall journal of information technology and privacy law,science,2
neuroendocrinology,progress in brain research,2
neuroendocrinology,prog neuropsychopharmacol biol psychiatry,2
neuroendocrinology,prog neurobiol,2
foodborne pathogens and disease,medscape emedicine,2
chem rev,the electrochemical society interface,2
chem rev,the faseb journal,2
animal behaviour monographs,zoo biology,2
chem rev,the irish journal of medical science,2
animal behaviour monographs,zoological research,2
neuroendocrinology,proc aust assoc neurol,2
