source,target,weight
am j hum biol,american psychologist,1
journal of happiness studies,the nation,1
journal of experimental psychology general,journal of the royal statistical society series b,1
american heritage,congressional record proceedings and debates of 91st congress,1
j supramolecular science,the isme journal,1
international journal of geriatric psychiatry,journal of managed care  specialty pharmacy,1
journal of experimental psychology general,journal of the university film association,1
journal of experimental psychology general,journal of theoretical and philosophical psychology,1
journal of happiness studies,the musical quarterly,1
journal of happiness studies,the leadership quarterly,1
journal of happiness studies,the lancet global health,1
journal of experimental psychology general,journal of transpersonal psychology,1
american heritage,congressional record proceedings and debates of the 87th congress second session,1
am j hum biol,american scientist,1
international journal of childrens spirituality,the journal of family communication,1
international journal of childrens spirituality,the educational forum,1
international journal of childrens spirituality,religious education,1
j womens health,j womens health,1
american heritage,college  research libraries news,1
international journal of geriatric psychiatry,journal of marriage and family,1
international journal of childrens spirituality,publishers weekly,1
international journal of childrens spirituality,quarterly journal of new thoughts on education,1
international journal of environmental research and public health,the american journal of physiology,1
international journal of childrens spirituality,religion  education,1
american journal of economics and sociology,sociological perspectives,1
j exp clin cancer res,johns hopkins med j suppl,1
journal of experimental psychology general,journal of the optical society of america b,1
american journal of physics,the lion and the unicorn,1
international journal of geriatric psychiatry,journal of marketing research,1
american journal of electroneurodiagnostic technology,highlights in neuroophthalmology,1
j forensic sci,transplantation,1
international journal of childrens spirituality,teaching and learning literature with children and young adults,1
american heritage,commentary,1
american heritage,commonplace,1
international journal of childrens spirituality,teaching in higher education,1
am j epidemiol,lab invest,1
j forensic sci,transfus med,1
international journal of geriatric psychiatry,journal of lipid research,1
international journal of geriatric psychiatry,journal of neurobiology,1
journal of hate studies,journal of transcultural nursing,1
american imago,journal of adolescence,1
j fam pract,reviews on recent clinical trials,1
journal of hard tissue biology,science,1
international journal of environmental research and public health,the american journal of pathology,1
am j kidney dis,med j malaysia,1
jama,obes surg,1
am j hum biol,annual review of sex research,1
j gynecol obstet biol reprod paris,reprod biomed online,1
journal of hard tissue biology,plant and soil,1
j supramol struct,pigment cell melanoma res,1
j gynecol obstet biol reprod paris,reprod biol endocrinol,1
j gynecol obstet biol reprod paris,recenti prog med,1
journal of hard tissue biology,nutr clin pract,1
international journal of educational development,political behavior,1
journal of hard tissue biology,microbiol spectr,1
journal of hard tissue biology,mar ecol prog ser,1
j supramol struct,pnas,1
journal of experimental psychology general,journal of substance abuse treatment,1
international journal of childrens spirituality,journal of philosophy of education,1
j exp clin cancer res,j physiol,1
am j hum biol,ann n y acad sci,1
journal of field ornithology,tijdschrift voor natuurlijke geschiedenis en physiologie,1
international journal of environmental research and public health,the american journal of orthopsychiatry,1
journal of experimental psychology general,journal of sport management,1
journal of experimental psychology general,journal of sports sciences,1
j gynecol obstet biol reprod paris,saudi medical journal,1
journal of field ornithology,transactions of the institute of british geographers,1
am j hum biol,anthropological notebooks,1
international journal of educational development,political theory,1
journal of hate studies,qualitative sociology review,1
international journal of childrens spirituality,journal of cognitive education and psychology,1
american journal of physical anthropology,chroniques yemenites,1
american heritage,christian science monitor,1
journal of hate studies,pediatrics,1
journal of hate studies,partner abuse,1
j supramol struct,p n g med j,1
j gynecol obstet biol reprod paris,rev fr gynecol obstet,1
international journal of childrens spirituality,journal of parapsychology,1
journal of hate studies,men and masculinities,1
journal of experimental psychology general,journal of statistics education,1
journal of hate studies,latin american research review,1
journal of hard tissue biology,langmuir,1
international journal of childrens spirituality,journal of research on adolescence,1
journal of happiness studies,zygon,1
american journal of physical anthropology,turkish journal of medical sciences,1
international journal of childrens spirituality,new jersey journal of supervision and curriculum development,1
am j hum biol,annales dendocrinologie,1
american institute of nutrition,science,1
journal of happiness studies,william  mary bill of rights journal,1
journal of happiness studies,west virginia law review,1
journal of happiness studies,virginia law review,1
american journal of physical anthropology,chroniques yxe9mxe9nites,1
journal of happiness studies,utopian studies,1
international journal of educational development,philosophical transactions of the royal society b biological sciences,1
journal of happiness studies,unpublished,1
journal of happiness studies,txe9oros revue de recherche en tourisme,1
journal of field ornithology,theriogenology,1
journal of experimental psychology general,journal of the american academy of dermatology,1
am j hum genet,int j hum genet,1
international journal of geriatric psychiatry,journal of molecular graphics  modelling,1
international journal of geriatric psychiatry,journal of mental science,1
international journal of educational development,pathways to access research monograph,1
jama,ny state j med,1
international journal of educational development,paper presented at the annual meeting of the american sociological association new york city,1
international journal of childrens spirituality,national center for science education reports,1
j supramol struct,transfusion,1
international journal of childrens spirituality,mmwr morbidity and mortality weekly report,1
am j epidemiol,klinische monatsblxe4tter fxfcr augenheilkunde,1
journal of experimental psychology general,journal of the academy of marketing science,1
journal of happiness studies,world psychiatry,1
