source,target,weight
natural sciences education,physics education,1
natural sciences education,plos biology,1
natural sciences education,pnas,1
natural sciences education,public understanding of science,1
natural sciences education,research and practice in technology enhanced learning,1
natural sciences education,research in science education,1
natural sciences education,the quarterly review of biology,1
natural selection and social behavior,nature,1
natural science research univ tokushima,swiss journal of palaeontology,1
natural science research univ tokushima,science reports of niigata university geology,1
natural science research univ tokushima,rivista italiana di paleontologia e stratigrafia,1
natural science research univ tokushima,revista de la academia colombiana de ciencias,1
natural science,willdenowia,1
natural science a monthly review of scientific progress,review of historical publications relating to canada vols 1  2 vol 1 for 1896 vol 2 for 1897,1
natural science a monthly review of scientific progress,saturday review of politics literature science and art,1
natural science a monthly review of scientific progress,whos who,1
natural science research univ tokushima,nature,1
natural science research univ tokushima,nature communications,1
adolesc med clin,j gastroenterol hepatol,1
adolesc med clin,j dev behav pediatr,1
adolesc med clin,j autoimmun,1
natural science research univ tokushima,palaeontographica abteilung a,1
natural science research univ tokushima,palaeontographica abteilung b,1
adolesc med clin,j am acad child adolesc psychiatry,1
natural science research univ tokushima,paleobotanika,1
adolesc med clin,international journal of pediatric otorhinolaryngology,1
natural science research univ tokushima,paleontological research,1
natural science research univ tokushima,palxe4ontologie stratigraphie fazies,1
natural science research univ tokushima,papers in palaeontology,1
adolesc med clin,international journal of infectious diseases,1
adolesc med clin,international journal of environmental research and public health,1
natural science research univ tokushima,publicacixf3n especial  asociacixf3n paleontolxf3gica argentina,1
natural science research univ tokushima,revista brasileira de paleontologia,1
natural selection and social behavior,physiological zoology,1
natural selection and social behavior,proceedings of the royal society b,1
natural selection and social behavior,proceedings of the royal society b biological sciences,1
natural toxins,the biological bulletin,1
natural toxins,the journal of experimental biology,1
natural toxins,the netherlands journal of medicine,1
natural toxins,the new england journal of medicine,1
natural toxins,the science of the total environment,1
natural toxins,toxicology,1
natural toxins,toxicology and industrial health,1
natural toxins,toxicology letters,1
adolesc med clin,genet med,1
natural toxins,toxins,1
natural toxins,trends in ecology  evolution,1
natural toxins,zootaxa,1
natural volatiles  essential oils,scientific reports,1
naturaleza aragonesa,v jornadas internacionales sobre paleontologxeda de dinosaurios y su entorno,1
naturalia,naturalia,1
adolesc med clin,gastroenterology,1
adolesc med clin,frontiers in psychiatry,1
naturalia,new zealand journal of zoology,1
naturalia,occasional papers of the bishop museum,1
adolesc med clin,frontiers in pediatrics,1
adolesc med clin,front cardiovasc med,1
adolesc med clin,focus autism other dev disabl,1
natural toxins,the chemical record,1
natural toxins,the american naturalist,1
natural selection and social behavior,protein expression and purification,1
natural toxins,the american journal of medicine,1
natural selection and social behavior,psyche entomological journal,1
natural selection and social behavior,researches on population ecology,1
natural selection and social behavior,science,1
natural selection and social behavior,the canadian entomologist,1
natural selection and social behavior,the florida entomologist,1
natural selection and social behavior,the quarterly review of biology,1
natural selection and social behavior,zeitschrift fxfcr tierpsychologie,1
natural toxins,nature geoscience,1
natural toxins,nebraska anthropologist,1
natural toxins,palaeontology,1
natural toxins,pediatrics,1
natural toxins,plants,1
natural toxins,poultry science,1
natural toxins,proc r soc b,1
natural toxins,revista chapingo serie horticultura,1
natural toxins,rhodora,1
adolesc med clin,german journal of psychiatry,1
natural toxins,science advances,1
natural toxins,syst biol,1
natural toxins,tetrahedron,1
natural toxins,tetrahedron letters,1
natural science,the medical fortnightly,1
natural science,the journal of the polynesian society,1
natural science,the journal of british studies,1
natural resources journal,radical history review,1
natural resources journal,review of european community  international environmental law,1
natural resources journal,review of european community and international environmental law,1
natural resources journal,river research and applications,1
adolesc med clin,journal of child and adolescent psychopharmacology,1
natural resources journal,scientific american,1
natural resources journal,scientific americann,1
natural resources journal,scientific reports,1
natural resources journal,social psychology quarterly,1
natural resources journal,social research,1
natural resources journal,soil biology and biochemistry,1
natural resources journal,syracuse law review,1
natural resources journal,tellus b chemical and physical meteorology,1
natural resources journal,the freeman,1
natural resources journal,the journal of environment  development,1
natural resources journal,the sociological quarterly,1
adolesc med clin,journal of abnormal psychology,1
natural resources journal,trends in ecology and evolution,1
natural resources journal,tulane law review,1
natural resources journal,university of san francisco law review,1
natural resources journal,urban law annual  journal of urban and contemporary law,1
natural resources journal,veterinary record,1
natural resources journal,review of environmental economics and policy,1
natural resources journal,psychology today,1
natural resources journal,water international,1
natural resources journal,psychological science,1
natural resources forum,water resources research,1
adolesc med clin,journal of neural transmission,1
natural resources forum,zoological studies,1
natural resources journal,natural resources journal,1
adolesc med clin,journal of hepatology,1
adolesc med clin,journal of epidemiology and community health,1
natural resources journal,new scientist,1
natural resources journal,npj climate and atmospheric science,1
natural resources journal,oecologia,1
adolesc med clin,journal of clinical and translational hepatology,1
natural resources journal,organizational behavior and human decision processes,1
natural resources journal,personality and social psychology bulletin,1
natural resources journal,personality and social psychology review,1
