source,target,weight
contributions to mineralogy and petrology,transactions of the royal society of edinburgh earth sciences,6
clinical microbiology reviews,journal of theoretical biology,6
contributions to mineralogy and petrology,mountain research and development,6
clinical microbiology reviews,journal of travel medicine,6
clinical microbiology reviews,journal of urban health,6
analytical chemistry,journal of optics a pure and applied optics,6
frontiers in genetics,nature immunology,6
clinical microbiology reviews,molecular therapy,6
contributions to mineralogy and petrology,elements,6
biology letters,phil trans r soc lond,6
frontiers in genetics,mutation research,6
clinical microbiology reviews,mmwr supplements,6
clinical microbiology reviews,mmwr recommendations and reports,6
genetics in medicine,journal of cardiac failure,6
bionlp 06 proceedings of the workshop on linking natural language processing and biology towards deeper biological literature analysis,journal of biomedical informatics,6
clinical microbiology reviews,microbiology spectrum,6
bionlp 06 proceedings of the workshop on linking natural language processing and biology towards deeper biological literature analysis,nucleic acids research,6
clinical microbiology reviews,methods in molecular biology,6
contributions to mineralogy and petrology,investigaciones geogrxe1ficas,6
best practice  research clinical obstetrics  gynaecology,journal of medical genetics,6
genetics in medicine,journal of clinical investigation,6
genetics in medicine,journal of clinical lipidology,6
contributions to mineralogy and petrology,journal of geodynamics,6
clinical microbiology reviews,mediterranean journal of hematology and infectious diseases,6
biochem biophys res commun,oncology letters,6
clinical microbiology reviews,medicine,6
clinical microbiology reviews,medical anthropology quarterly,6
anthropology news,science news,6
genetics in medicine,journal of human genetics,6
bioorg chem,maturitas,6
genetics in medicine,mol syndromol,6
clinical microbiology reviews,journal of medicinal chemistry,6
contributions to indian sociology,social scientist,6
genetics in medicine,north carolina medical journal,6
angewandte chemie international ed in english,scientific american,6
clinical microbiology reviews,j med microbiol,6
angewandte chemie international ed in english,scientific reports,6
clinical microbiology reviews,j med entomol,6
clinical microbiology reviews,intervirology,6
analytical chemistry,journal of diabetes science and technology,6
frontiers in endocrinology,the lancet diabetes  endocrinology,6
clinical microbiology reviews,international journal of obesity,6
analytical chemistry,journal of dairy science,6
genetics in medicine,neuropediatrics,6
analytical chemistry,journal of computational biology,6
contributions to zoology,hydrobiologia,6
contributions to zoology,iheringia sxe9rie zoologia,6
contributions to natural history,journal of paleontology,6
contributions to zoology,journal of biogeography,6
biology letters,paleoworld,6
bioorg med chem,bioorganic  medicinal chemistry,6
clinical microbiology reviews,int j syst evol microbiol,6
contributions to zoology,journal of mammalogy,6
best practice  research clinical obstetrics  gynaecology,current opinion in obstetrics and gynecology,6
applied geochemistry,journal of biological chemistry,6
best practice  research clinical obstetrics  gynaecology,current opinion in obstetrics  gynecology,6
contributions to zoology,lavori u2013 societxe0 veneziana di scienze naturali,6
genetics in medicine,pediatric annals,6
contributions to zoology,malacologia mostra mondiale,6
clinical microbiology reviews,infect genet evol,6
frontiers in energy research,journal of electroanalytical chemistry and interfacial electrochemistry,6
applied geochemistry,geobiology,6
contributions to the history of imperial japanese warships,proceedings,6
contributions to the history of imperial japanese warships,popular mechanics,6
applied geochemistry,chemical reviews,6
bioorg khim,genomics,6
contributions to nepalese studies,kailash,6
