source,target,weight
asian pac j allergy immunol,current allergy and asthma reports,1
bmc plant biology,gene therapy,1
bmc plant biology,genes,1
asian pac j allergy immunol,contact derm,1
bmc plant biology,genes chromosomes  cancer,1
bmc plant biology,genes chromosomes and cancer,1
bmc plant biology,genes to cells devoted to molecular  cellular mechanisms,1
bmc plant biology,hepatology,1
bmc plant biology,herpetological conservation and biology,1
bmc plant biology,journal of botany,1
bmc plant biology,journal of agricultural and food chemistry,1
bmc plant biology,j am soc nephrol,1
bmc plant biology,j biol phys,1
bmc plant biology,j cell sci,1
bmc plant biology,j environ qual,1
bmc plant biology,j exp biol,1
bmc plant biology,j exp med,1
bmc plant biology,j gen physiol,1
bmc plant biology,j mol biol,1
bmc plant biology,j sci food agric,1
bmc plant biology,j struct biol,1
bmc plant biology,journal of alzheimers disease,1
bmc plant biology,j adv modeling earth syst,1
bmc plant biology,journal of animal science and biotechnology,1
bmc plant biology,journal of anthropological archaeology,1
bmc plant biology,journal of applied ecology,1
bmc plant biology,journal of applied meteorology,1
bmc plant biology,journal of arid land,1
bmc plant biology,journal of bacteriology,1
bmc plant biology,journal of bioenergetics and biomembranes,1
asian myrmecology,trends in ecology  evolution,1
bmc plant biology,journal of biomedicine  biotechnology,1
bmc plant biology,journal of bone and mineral research,1
bmc plant biology,j agric food chem,1
bmc plant biology,iucrj,1
bmc plant biology,highway research record,1
bmc plant biology,insect science,1
asian nursing research,australian and new zealand journal of public health,1
asian noodle,asian noodle,1
bmc plant biology,hoppeseylers zeitschrift fxfcr physiologische chemie,1
asian myrmecology,zoologica scripta,1
bmc plant biology,human genomics,1
asian myrmecology,virgo  mitteilungsblatt des entomologischen veriens mecklenburg,1
bmc plant biology,human reproduction update,1
bmc plant biology,hypertension,1
bmc plant biology,immunity,1
bmc plant biology,immunology letters,1
bmc plant biology,int j mol sci,1
bmc plant biology,internet symposium on food allergens,1
bmc plant biology,international archives of allergy and immunology,1
bmc plant biology,international archives of medicine,1
bmc plant biology,international journal of agriculture and biology,1
bmc plant biology,international journal of biological and chemical sciences,1
bmc plant biology,international journal of coal geology,1
bmc plant biology,international journal of environmental science and technology,1
bmc plant biology,international journal of molecular sciences,1
asian myrmecology,tropical biomedicine,1
bmc plant biology,international research journal of biological sciences,1
bmc plant biology,international reviews of immunology,1
asian pac j allergy immunol,journal of allergy and clinical immunology,1
asian pac j allergy immunol,journal of asthma and allergy,1
bmc plant biology,faseb journal,1
bmc plant biology,critical reviews in food science and nutrition,1
asian pac j cancer prev,blood rev,1
bmc plant biology,clinical nephrology,1
asian pac j cancer prev,birth defects res b dev reprod toxicol,1
asian pac j cancer prev,biomarkers,1
bmc plant biology,comprehensive analytical chemistry,1
bmc plant biology,comptes rendus de lacadxe9mie des sciences,1
bmc plant biology,computational biology and chemistry,1
asian pac j cancer prev,biol reprod,1
bmc plant biology,copd,1
bmc plant biology,critical reviews in environmental science and technology,1
bmc plant biology,crop protection,1
bmc plant biology,clinical chemistry,1
bmc plant biology,crop science,1
bmc plant biology,cryobiology,1
asian pac j cancer prev,biochemistry,1
bmc plant biology,curr biol,1
bmc plant biology,curr opin biotechnol,1
bmc plant biology,curr opin plant biol,1
bmc plant biology,curr opin struct biol,1
asian pac j cancer prev,biochem biophys res commun,1
bmc plant biology,current drug targets,1
bmc plant biology,current genomics,1
bmc plant biology,clinical endocrinology,1
bmc plant biology,climatic change,1
bmc plant biology,familial cancer,1
bmc plant biology,cell reports,1
bmc plant biology,cancer cell international,1
bmc plant biology,cardiogenetics,1
asian pac j cancer prev,cancer invest,1
asian pac j cancer prev,cancer epidemiology biomarkers  prevention,1
bmc plant biology,catena soil,1
asian pac j cancer prev,cancer commun lond,1
asian pac j cancer prev,cancer biomark,1
bmc plant biology,cell host  microbe,1
bmc plant biology,cell host microbe,1
bmc plant biology,cell mol biol noisylegrand,1
bmc plant biology,cell structure and function,1
bmc plant biology,climate research,1
asian pac j cancer prev,breast cancer res treat,1
bmc plant biology,cellular microbiology,1
bmc plant biology,cellulose,1
bmc plant biology,chemical biology  drug design,1
bmc plant biology,chemoecology,1
bmc plant biology,chest,1
bmc plant biology,chinese medical journal,1
asian pac j cancer prev,br j dermatol,1
bmc plant biology,clay minerals bulletin,1
asian pac j cancer prev,bmc med,1
bmc plant biology,current hypertension reports,1
bmc plant biology,current medicinal chemistry,1
bmc plant biology,current opinion in chemical biology,1
asian pac j allergy immunol,nature,1
asian pac j allergy immunol,scientific reports,1
bmc plant biology,endocrine metabolic  immune disorders drug targets,1
asian pac j allergy immunol,rheumatol int,1
bmc plant biology,energy policy,1
bmc plant biology,environment and ecology,1
bmc plant biology,environment international,1
asian pac j allergy immunol,nutr clin pract,1
bmc plant biology,environmental health perspectives,1
bmc plant biology,environmental microbiology,1
bmc plant biology,environmental science and policy,1
bmc plant biology,eur j physiol,1
bmc plant biology,current opinion in immunology,1
bmc plant biology,european journal of agronomy,1
bmc plant biology,european journal of immunology,1
bmc plant biology,european journal of pharmacology,1
bmc plant biology,european journal of soil biology,1
asian pac j allergy immunol,jpen j parenter enteral nutr,1
asian pac j allergy immunol,journal of venomous animals and toxins including tropical diseases,1
bmc plant biology,evolutionary bioinformatics,1
bmc plant biology,expert opinion on investigational drugs,1
bmc plant biology,expert reviews in molecular medicine,1
bmc plant biology,eye,1
bmc plant biology,elife,1
bmc plant biology,elements,1
bmc plant biology,electrophoresis,1
bmc plant biology,ecosystems,1
bmc plant biology,current opinion in microbiology,1
bmc plant biology,current opinion in pediatrics,1
asian pac j cancer prev,balkan j med genet,1
bmc plant biology,current opinion in structural biology,1
bmc plant biology,danish journal of geography,1
bmc plant biology,development genes and evolution,1
bmc plant biology,diabetes,1
bmc plant biology,diabetes research and clinical practice,1
bmc plant biology,die bodenkultur,1
bmc plant biology,die naturwissenschaften,1
asian pac j allergy immunol,trop biomed,1
bmc plant biology,drug news perspect,1
asian pac j allergy immunol,thorax,1
bmc plant biology,earth surface processes and landforms,1
bmc plant biology,ecography,1
bmc plant biology,ecological economics,1
bmc plant biology,ecological modelling,1
bmc plant biology,ecological monographs,1
bmc plant biology,ecological research,1
asian pac j allergy immunol,the journal of headache and pain,1
bmc plant biology,economic geology,1
bmc plant biology,journal of botanical science,1
bmc plant biology,journal of cell biology,1
bmc plant biology,canadian journal of earth sciences,1
asian myrmecology,journal of the elisha mitchell society,1
bmc plant biology,philosophical transactions of the royal society of london,1
bmc plant biology,philosophical transactions of the royal society of london series b biological sciences,1
bmc plant biology,photosynth res,1
asian myrmecology,journal of thermal biology,1
bmc plant biology,physica,1
bmc plant biology,physical review letters,1
bmc plant biology,physics and chemistry of the earth part b hydrology oceans and atmosphere,1
bmc plant biology,physiol rev,1
bmc plant biology,physiological and molecular plant pathology,1
bmc plant biology,phytopathology,1
asian myrmecology,journal of the alabama academy of science,1
bmc plant biology,pharmacological research,1
bmc plant biology,plant  soil,1
bmc plant biology,plant and cell physiol,1
asian myrmecology,journal of proteome research,1
bmc plant biology,plant biology,1
bmc plant biology,plant breeding,1
asian myrmecology,journal of nematology,1
bmc plant biology,plant cell physio,1
bmc plant biology,plant cell physiol,1
asian myrmecology,journal of hymenoptera research,1
bmc plant biology,plant ecology,1
asian myrmecology,landscape ecology,1
bmc plant biology,perspectives in phycology,1
bmc plant biology,plant j,1
asian myrmecology,neotropical entomology,1
bmc plant biology,netherlands journal of agricultural science,1
asian myrmecology,novitates paleoentomologicae,1
bmc plant biology,neuropathology and applied neurobiology,1
bmc plant biology,neuropharmacology,1
bmc plant biology,new forests,1
asian myrmecology,new scientist,1
bmc plant biology,new zealand journal of botany,1
bmc plant biology,nucleic acids res,1
asian myrmecology,new england journal of medicine,1
bmc plant biology,nutrient cycling in agroecosystems,1
bmc plant biology,ohio journal of science,1
asian myrmecology,les cahiers magellanes horssxe9rie,1
bmc plant biology,oikos,1
bmc plant biology,omics,1
bmc plant biology,open atmospheric science journal,1
bmc plant biology,organisms diversity  evolution,1
bmc plant biology,orphanet journal of rare diseases,1
bmc plant biology,pacific science,1
asian myrmecology,molecular ecology,1
bmc plant biology,palaios,1
bmc plant biology,paleobiology,1
asian myrmecology,memxf3rias do instituto oswaldo cruz,1
bmc plant biology,plant foods for human nutrition,1
asian myrmecology,journal of comparative physiology a,1
asian myrmecology,transactions of the american entomological society,1
bmc plant biology,sandec report,1
bmc plant biology,reproductive biology and endocrinology,1
bmc plant biology,research in microbiology,1
bmc plant biology,researchgate,1
bmc plant biology,respiratory medicine,1
bmc plant biology,restoration ecology,1
bmc plant biology,revista argentina de agronomxeda,1
bmc plant biology,rna biology,1
bmc plant biology,rocky mountain geology,1
bmc plant biology,russian agricultural sciences,1
bmc plant biology,russian journal of plant physiology,1
bmc plant biology,scandinavian journal of forest research,1
bmc plant biology,radiation and environmental biophysics,1
asian myrmecology,general and comparative endocrinology,1
asian myrmecology,frontiers in plant science,1
bmc plant biology,science china life sciences,1
bmc plant biology,scientia horticulturae,1
asian myrmecology,folia heyrovskyana series a,1
bmc plant biology,scientific world journal,1
bmc plant biology,semin nephrol,1
bmc plant biology,seminars in cancer biology,1
bmc plant biology,sensors and actuators b chemical,1
bmc plant biology,sexual plant reproduction,1
bmc plant biology,remote sensing of environment,1
bmc plant biology,quaternary research,1
asian myrmecology,journal of applied entomology,1
bmc plant biology,prion,1
asian myrmecology,journal of allergy and clinical immunology,1
asian myrmecology,journal of agricultural and urban entomology,1
asian myrmecology,invertebrate systematics,1
bmc plant biology,plant soil and environment,1
asian myrmecology,international journal of acarology,1
bmc plant biology,planta med,1
bmc plant biology,plasmid,1
asian myrmecology,indian journal of environmental education,1
bmc plant biology,postharvest biology and technology,1
bmc plant biology,poultry science,1
bmc plant biology,proc am thorac soc,1
bmc plant biology,quart rev biol,1
bmc plant biology,proceedings of the national academy of sciences of the usa,1
bmc plant biology,proceedings of the royal society b biological sciences,1
bmc plant biology,progress in natural science,1
bmc plant biology,progress in physical geography,1
asian myrmecology,geosciences,1
bmc plant biology,proteins,1
bmc plant biology,proteomics,1
asian myrmecology,georgia entomological society,1
asian myrmecology,geological magazine,1
bmc plant biology,q rev biophys,1
bmc plant biology,nebraska anthropologist,1
asian myrmecology,oecologia,1
bmc plant biology,nature reviews molecular cell biology,1
bmc plant biology,journal of the arnold arboretum,1
bmc plant biology,journal of research of the national bureau of standards,1
bmc plant biology,journal of seed technology,1
bmc plant biology,journal of soil and water conservation,1
bmc plant biology,journal of soils and sediments,1
asian myrmecology,the american journal of forensic medicine and pathology,1
bmc plant biology,journal of structural biology,1
asian myrmecology,studies and reports taxonomical series,1
