source,target,weight
novitates zoologicae,transactions and proceedings of the royal society of new zealand,1
acta pharmaceutica sinica b,topics in organometallic chemistry,1
novitates zoologicae,transactions of the nebraska academy of sciences,1
novitates zoologicae,transactions of the south african philosophical society,1
novitates zoologicae,verhandelingen koninklijke nederlandse akademie van wetenschappen,1
acta pharmaceutica sinica b,the lancet neurology,1
acta pharmaceutica sinica b,the lancet infectious diseases,1
novitates zoologicae,veterinary world,1
novitates zoologicae,victorian naturalist,1
novitates zoologicae,vogelwelt,1
novitates zoologicae,waterbirds the international journal of waterbird biology,1
novitates zoologicae,western birds,1
novitates zoologicae,wicazo sa review,1
novitates zoologicae,scientific reports,1
novitates zoologicae,scientific american,1
acta pharmaceutica suecica,canadian medical association journal,1
acta pharmaceutica suecica,tetrahedron,1
novitates zoologicae,oceania,1
novitates zoologicae,oikos,1
novitates zoologicae,open quaternary,1
novitates zoologicae,organisms diversity  evolution,1
novitates zoologicae,ornithol anz,1
novitates zoologicae,ornitologxeda colombiana,1
acta pharmaceutica suecica,progress in organic chemistry,1
acta pharmaceutica suecica,plos biology,1
acta pharmaceutica suecica,minerva anestesiologica,1
novitates zoologicae,palaeogeography palaeoclimatology palaeoecology,1
novitates zoologicae,palaeontologica sinica series c fascicle 1,1
novitates zoologicae,parasitology research,1
acta pharmaceutica suecica,lloydia,1
novitates zoologicae,peerj,1
acta pharmaceutica suecica,justus liebigs annalen der chemie,1
novitates zoologicae,philosophical transactions of the royal society of london,1
novitates zoologicae,physiographiska sxe4llskapets tidskrift,1
novitates zoologicae,physiological and biochemical zoology,1
novitates zoologicae,physiological zoology,1
novitates zoologicae,plastic and reconstructive surgery,1
novitates zoologicae,plos biology,1
acta pharmaceutica suecica,rec med vet,1
novitates paleoentomologicae,zoosystematica rossica,1
acta pharmaceutica suecica,journal of the chemical society chemical communications,1
acta pharmaceutica suecica,the american journal of emergency medicine,1
novitates paleoentomologicae,systematic  applied acarology,1
acta pharmaceutica zagreb croatia,naunynschmiedebergs archives of pharmacology,1
acta pharmaceutica zagreb croatia,journal of pharmacology and experimental therapeutics,1
acta pharmaceutica zagreb croatia,j intellect disabil res,1
acta pharmaceutica zagreb croatia,exp neurol,1
