source,target,weight
intelligence,journal of the early republic,2
the journal of parasitology,veterinary immunology and immunopathology,2
the journal of parasitology,vaccine,2
american journal of public health,small enterprise research,2
best practice  research clinical endocrinology  metabolism,journal of experimental psychology applied,2
the journal of parasitology,university of california publications in zoology,2
best practice  research clinical endocrinology  metabolism,journal of general internal medicine,2
australian systematic botany,farlowia,2
intelligence,journal of the learning sciences,2
intelligence,journal of the royal society of medicine,2
american journal of public health,smith college studies in social work,2
american journal of public health,soc psychiatry psychiatr epidemiol,2
27th international conference on very large data bases,the journal of academic librarianship,2
the journal of parasitology,tropical medicine and infectious disease,2
best practice  research clinical endocrinology  metabolism,journal of medicinal chemistry,2
best practice  research clinical endocrinology  metabolism,journal of molecular biology,2
american journal of public health,soc work public health,2
intelligence,journal of theoretical and philosophical psychology,2
the journal of parasitology,tropical and geographical medicine,2
best practice  research clinical endocrinology  metabolism,journal of neuroscience research,2
best practice  research clinical endocrinology  metabolism,med sci sports exerc,2
intelligence,learning and motivation,2
the journal of pain,the veterinary record,2
indian journal of medical microbiology,journal of medical and veterinary mycology,2
best practice  research clinical endocrinology  metabolism,ned tijdschr geneeskd,2
the journal of pain,zebrafish,2
best practice  research clinical endocrinology  metabolism,neural regeneration research,2
intelligence,men and masculinities,2
australian systematic botany,darwiniana,2
best practice  research clinical endocrinology  metabolism,neuroimage,2
the journal of pain,world journal of gastroenterology,2
intelligence,metacognition and learning,2
best practice  research clinical endocrinology  metabolism,neuropharmacology,2
the journal of pain,vlaams diergeneeskundig tijdschrift,2
intelligence,mit sloan management review,2
best practice  research clinical endocrinology  metabolism,neuroscience,2
indian journal of medical microbiology,journal of gastroenterology and hepatology,2
the journal of pain,vet j,2
28,catalogue of the diptera of the oriental region,2
best practice  research clinical endocrinology  metabolism,nutrients,2
the journal of pain,trends in pharmacological sciences,2
australian systematic botany,cryptogamie bryologie,2
best practice  research clinical endocrinology  metabolism,obesity facts,2
intelligence,motivation and emotion,2
best practice  research clinical endocrinology  metabolism,obstetrics and gynecology,2
indian journal of medical microbiology,journal of biological chemistry,2
the journal of pain,therapeutic drug monitoring,2
the journal of pain,therapeutic advances in gastroenterology,2
intelligence,mutation researchreviews in genetic toxicology,2
best practice  research clinical endocrinology  metabolism,nature reviews urology,2
best practice  research clinical endocrinology  metabolism,nature reviews nephrology,2
the journal of parasitology,the milbank quarterly,2
intelligence,medicine health care and philosophy,2
australian systematic botany,entomologia experimentalis et applicata,2
best practice  research clinical endocrinology  metabolism,medizinische klinik,2
the journal of parasitology,the lancet neurology,2
28,bulletin de la socixe9txe9 entomologique dxc9gypte,2
28,bulletin de linstitut royal des sciences naturelles de belgique entomologie,2
best practice  research clinical endocrinology  metabolism,microbiological reviews,2
the journal of parasitology,the journal of the american osteopathic association,2
best practice  research clinical endocrinology  metabolism,minerva pediatrica,2
best practice  research clinical endocrinology  metabolism,mini rev med chem,2
best practice  research clinical endocrinology  metabolism,mini reviews in medicinal chemistry,2
intelligence,machine mediated learning,2
best practice  research clinical endocrinology  metabolism,modern pathology,2
australian systematic botany,ecotoxicology and environmental safety,2
the journal of parasitology,the journal of pathology and bacteriology,2
intelligence,management  organizational history,2
the journal of parapsychology,the sociological review,2
australian systematic botany,ecology,2
intelligence,mankind quarterly,2
best practice  research clinical endocrinology  metabolism,molekuliarnaia biologiia,2
australian systematic botany,ecological management  restoration,2
intelligence,maturitas,2
australian systematic botany,earthscience reviews,2
indian journal of medical microbiology,journal of pediatric gastroenterology and nutrition,2
indian journal of medical microbiology,journal of molecular evolution,2
indian journal of medical microbiology,journal of medical case reports,2
best practice  research clinical endocrinology  metabolism,journal of bioethical inquiry,2
best practice  research clinical endocrinology  metabolism,journal of andrology,2
intelligence,journal of social psychology,2
best practice  research clinical endocrinology  metabolism,febs letters,2
intelligence,journal of medical systems,2
the journal of pathology,trends in ecology  evolution,2
intelligence,journal of memetics u2013 evolutionary models of information transmission,2
best practice  research clinical endocrinology  metabolism,frontiers in medicine,2
27th annual european symposium on algorithms esa 2019,operations research letters,2
best practice  research clinical endocrinology  metabolism,frontiers in pharmacology,2
the journal of pathology,transplantation,2
australian systematic botany,geoscience frontiers,2
best practice  research clinical endocrinology  metabolism,gene,2
indian journal of medical microbiology,the journal of eukaryotic microbiology,2
american journal of public health,sistersong women of color reproductive health collective,2
indian journal of medical microbiology,the indian journal of medical research,2
intelligence,journal of neuropsychiatry and clinical neurosciences,2
best practice  research clinical endocrinology  metabolism,growth hormone  igf research,2
27th annual european symposium on algorithms esa 2019,siam j comput,2
best practice  research clinical endocrinology  metabolism,gynecological endocrinology,2
american journal of public health,slavic review,2
27th annual european symposium on algorithms esa 2019,theoretical computer science,2
best practice  research clinical endocrinology  metabolism,health promotion international,2
best practice  research clinical endocrinology  metabolism,health psychology,2
