source,target,weight
j dent,operative dentistry,2
bulletin of the museum of comparative zoology,palaeodiversity,2
british journal of haematology,drug design development and therapy,2
arq bras endocrinol metabol,j sex med,2
global social welfare,shared hope,2
philosophical transactions of the royal society of london series b biological sciences,the international journal of neuroscience,2
genus,insect systematics and evolution,2
philosophical transactions of the royal society of london series b biological sciences,the international journal of neuropsychopharmacology,2
geologia croatica,geological journal of china universities,2
philosophical transactions of the royal society of london series a mathematical physical and engineering sciences,protoplasma,2
acta obstet gynecol scand suppl,hua xi yi ke da xue xue bao,2
j med virol,journal of clinical microbiology,2
j fam psychol,society,2
j field ornithol,journal of the society for the bibliography of natural history,2
genomics inform,nature,2
pnas,resource geology,2
canadian family physician,pain medicine,2
philosophical transactions of the royal society of london series a mathematical physical and engineering sciences,science,2
pharmacoepidemiology and drug safety,the journal of bone and joint surgery american volume,2
bulletin of the museum of comparative zoology at harvard college,philosophical transactions of the royal society of london series b biological sciences,2
j field ornithol,journal of the history of biology,2
anales de la universidad de chile,intuslegere historia,2
gentes herbarium,the palm journal,2
canadian family physician,pain med,2
bulletin of the national museum of nature and science series c,vita malacologica,2
anales de medicina interna madrid spain  1984,gastroenterology,2
acta obstet gynecol scand,frontiers in pharmacology,2
canadian dimension,united church observer,2
general dentistry,medicina oral patologia oral y cirugia bucal,2
bulletin of the american astronomical society,european physical journal h,2
british journal of haematology,drug news  perspectives,2
british journal of industrial relations,the international migration review,2
acta obstet gynecol scand,blood rev,2
j fam psychol,the american journal of family therapy,2
general dentistry,military medicine,2
archives of neurology,british journal of occupational therapy,2
acta obstet gynecol scand,blood,2
british journal of haematology,drugs in rd,2
palaeontology,plos biol,2
acta metall,nanotechnology,2
bulletin of the museum of comparative zoology,palaeontographica,2
american journal of clinical nutrition,voeding,2
pnas,society of petroleum engineers journal,2
british journal of haematology,natural product reports,2
canadian family physician,harm reduction journal,2
canadian family physician,otolaryngologyu2013head and neck surgery,2
bulletin of the national science museum series c geology  paleontology,postilla,2
philosophical transactions of the royal society of london series a mathematical physical and engineering sciences,physica bc,2
j fam psychol,the canadian journal of sociology,2
acta crystallographica,scientific american,2
archives of neurology,expert review of antiinfective therapy,2
british journal of haematology,nat biotechnol,2
global social welfare,lancet,2
general physiology and biophysics,trends in biochemical sciences,2
acta obstet gynecol scand,the journal of organic chemistry,2
