source,target,weight
human immunology,j infect dis,1
human heredity,mmwr morbidity and mortality weekly report,1
human immunology,journal of the national cancer institute,1
human immunology,journal of mental health counseling,1
american mathematical monthly,human factors the journal of the human factors and ergonomics society,1
human immunology,journal of molecular medicine,1
human immunology,journal of neuroinflammation,1
human immunology,journal of neuroscience,1
human immunology,journal of neurovirology,1
human immunology,journal of oral microbiology,1
human immunology,journal of pediatric endocrinology  metabolism,1
human immunology,journal of the american chemical society,1
human immunology,journal of the american college of surgeons,1
human immunology,journal of transplantation,1
american mathematical monthly,ieee software,1
human immunology,journal of veterinary pharmacology and therapeutics,1
american mathematical monthly,human biology,1
human immunology,jpen j parenter enteral nutr,1
human immunology,kidney international,1
human immunology,laboratory investigation,1
american mathematical monthly,hp technical report,1
human immunology,latin american antiquity,1
american mathematical monthly,hosp health rev,1
human immunology,legal medicine tokyo japan,1
human immunology,leukemia,1
human immunology,journal of loss and trauma,1
human immunology,journal of immunological methods,1
human immunology,japanese journal of forensic science and technology,1
human immunology,journal of biosciences,1
human immunology,japanese journal of pharmacology,1
human immunology,journal of acquired immune deficiency syndromes,1
human immunology,journal of american history,1
human immunology,journal of anatomy,1
human immunology,journal of applied physiology,1
human immunology,journal of applied rehabilitation counseling,1
human immunology,journal of archaeological science,1
human immunology,journal of assisted reproduction and genetics,1
american mathematical monthly,ieee transactions on information theory,1
human immunology,journal of biomedicine  biotechnology,1
human immunology,journal of bone and mineral research,1
american mathematical monthly,ieee transactions on computers,1
human immunology,journal of cancer research and clinical oncology,1
human immunology,journal of cardiovascular translational research,1
american mathematical monthly,ieee transactions on education,1
human immunology,journal of cellular physiology,1
human immunology,journal of clinical oncology,1
human immunology,journal of controlled release,1
human immunology,journal of diabetes research,1
human immunology,journal of economic perspectives,1
american mathematical monthly,ieee transactions on control systems technology,1
human immunology,journal of genetics,1
american mathematical monthly,international microbiology,1
human heredity,trends in ecology  evolution,1
human heredity,transplantation proceedings,1
human heredity,pigment cell research,1
human heredity,pediatric nursing,1
human heredity,pediatric research,1
human heredity,pediatrics,1
human heredity,people and place,1
american mathematical monthly,j comput inform,1
american mathematical monthly,j comput biol,1
human heredity,pharmacological reviews,1
human heredity,phil trans r soc,1
human heredity,philosophical transactions of the royal society of london b biological sciences,1
human heredity,physiology,1
human heredity,plant breeding,1
human heredity,parasitology,1
human heredity,plos biol,1
human heredity,plos genet,1
american mathematical monthly,j comb theory bn,1
american mathematical monthly,j comb theory b       n,1
human heredity,political science quarterly,1
human heredity,proc biol sci,1
human heredity,proc natl acad sci u s a,1
human heredity,proc second intern congr hum genet roma,1
human heredity,proc soc exp biol med,1
human heredity,proceedings of the japan academy series b,1
human heredity,patient preference and adherence,1
american mathematical monthly,j differential equations,1
human heredity,translational oncology,1
american mathematical monthly,j exp biol,1
human heredity,mol pharmacol,1
human heredity,molecular and cellular biology,1
human heredity,molecular biology of the cell,1
human heredity,molecular ecology,1
human heredity,molecular genetics and genomics,1
american mathematical monthly,j korea soc math educ ser b pure appl math,1
american mathematical monthly,j integer seqn,1
human heredity,molecular psychiatry,1
human heredity,morfologiiu0361a,1
american mathematical monthly,j int seq,1
human heredity,nature reviews immunology,1
human heredity,orphanet journal of rare diseases,1
human heredity,nature reviews microbiology,1
human heredity,neuroendocrinology letters,1
human heredity,neurology,1
human heredity,neuromuscular disorders,1
human heredity,neuropharmacology,1
human heredity,new england journal of medicine,1
human heredity,north american fauna,1
human heredity,nursing open,1
human heredity,obstetrics and gynecology,1
human heredity,odontology,1
