source,target,weight
annals of mathematics,topology,52
nature reviews neuroscience,progress in neuropsychopharmacology  biological psychiatry,52
american journal of medical genetics,gene,52
depression and anxiety,lancet,52
progress in oceanography,science,52
nature,peerj preprints,52
journal of the american ceramic society,physical review b,52
british journal of developmental psychology,journal of personality and social psychology,52
arctoa a journal of bryology,paleontological journal,52
international journal of obesity and related metabolic disorders,the international journal of eating disorders,52
j cell sci,j virol,52
circulation,thrombosis research,52
anais da academia brasileira de cixeancias,the science of nature,52
applied psychophysiology and biofeedback,journal of neurotherapy,52
slavic review,the american journal of international law,52
chem sci,science,52
acta neuropathologica,gene,52
psychoneuroendocrinology,steroids,52
american fern journal,bartonia,52
agu fall meeting abstracts,journal of glaciology,52
memoirs of the royal astronomical society,monthly notices of the royal astronomical society,52
journal of biological chemistry,semin cancer biol,52
cell,mech dev,52
cell research,the embo journal,52
neuropsychopharmacology,synapse,52
the international journal of eating disorders,the psychiatric clinics of north america,52
bmc genomics,nature protocols,52
nature,notices of the american mathematical society,52
chemical senses,chemical senses,52
journal of systematic palaeontology,science bulletin,52
cell reports,trends in genetics,52
peritia,the welsh history review,52
phytoneuron,phytoneuron,52
human pathology,journal of clinical oncology,52
archives of pediatrics  adolescent medicine,cochrane database of systematic reviews,52
gastroenterology,molecular and cellular biology,52
rna,trends in biochemical sciences,52
lethaia,new mexico museum of natural history and science bulletin,52
embo rep,mol biol cell,52
behavioural brain research,neuroscience and biobehavioral reviews,52
annales de la socixe9txe9 entomologique de belgique,russian entomological journal,52
nature geoscience,philosophical transactions of the royal society b,52
diversity and distributions,nature,52
bio systems,science,52
journal of physics condensed matter,physical review,52
muscle  nerve,nature,52
genetics,journal of the history of biology,52
fems microbiology reviews,trends in microbiology,52
jama psychiatry,pnas,52
current opinion in cell biology,nature genetics,52
nature reviews drug discovery,the cochrane database of systematic reviews,52
mycologist,mycotaxon,52
future medicinal chemistry,science,52
annales de la socixe9txe9 entomologique de belgique,revue dentomologie caen,52
emergency medicine clinics of north america,epilepsia,52
animal behaviour,systematic biology,52
jama the journal of the american medical association,nature,52
baltic journal of coleopterology,lavori u2013 societxe0 veneziana di scienze naturali,52
advances in space research,nature geoscience,52
russian math surveys,soviet physics uspekhi,52
genetica,plos genetics,52
european urology,journal of urology,52
annales zoologici fennici,ursus,52
biophysical journal,j physiol,52
human nature,science,52
american journal of public health,jama internal medicine,52
annales zoologici fennici,science,52
british journal of clinical psychology,the international journal of eating disorders,52
russian review,the national interest,52
eur j hum genet,j med genet,52
fieldiana geology,journal of vertebrate paleontology,52
multibody system dynamics,sae technical paper series,52
psychology of addictive behaviors,the cochrane database of systematic reviews,52
zoosystema,zootaxa,52
foreign affairs,journal of peace research,52
russian review,the oral history review,52
mar ecol prog ser,nature,52
archives of physical medicine and rehabilitation,developmental medicine  child neurology,52
journal of comparative physiology a,journal of neurophysiology,52
advances in experimental social psychology,journal of personality and social psychology,52
rna,the plant cell,52
industrial crisis quarterly,slavic review,52
harvard international review,slavic review,52
acta geologica sinica english edition,paleontological research,52
cell,journal of alzheimers disease,52
alcheringa an australasian journal of palaeontology,spanish journal of palaeontology,52
science,the journal of wildlife management,52
british journal of health psychology,the cochrane database of systematic reviews,52
acta palaeontologica polonica,southeastern geology,52
physiology  behavior,the international journal of eating disorders,52
protein sci,the biochemical journal,52
clinical orthopaedics and related research,the journal of arthroplasty,52
marine drugs,plos one,52
journal of international affairs,soviet studies,52
bmj,european journal of pharmacology,52
gynecol endocrinol,horm mol biol clin investig,52
journal of the acoustical society of america,psychological review,52
acta palaeontologica polonica,science bulletin,52
slavic review,social studies of science,52
annual review of ecology evolution and systematics,current biology,52
blood,mayo clinic proceedings,52
journal of comparative neurology,neuroscience,52
jetp letters,physical review d,52
endangered species research,nature,52
j chem soc dalton trans,journal of the chemical society a,52
brain,continuum,52
nutrition,pnas,52
contribuciones del museo argentino de ciencias naturales bernardino rivadavia,facets,52
aquatic mammals,report of the international whaling commission,52
annual review of ecology evolution and systematics,heredity,52
crit care med,jama,52
middle east studies association bulletin,russian review,52
australian journal of entomology,myrmecological news,52
copeia,marine biology,52
acs applied materials  interfaces,nature materials,52
neurobiology of disease,the cochrane database of systematic reviews,52
bulletin of mathematical biology,nature,52
nature ecology  evolution,trends in genetics,52
nature,paleontological contributions,52
am j physiol regul integr comp physiol,mamm genome,52
memory  cognition,trends in cognitive sciences,52
aip conf proc,appl phys lett,52
am j physiol regul integr comp physiol,journal of biological chemistry,52
mycological progress,scientific reports,52
phytotherapy research,the cochrane database of systematic reviews,52
gigascience,nucleic acids research,52
biochemistry,molecular biology and evolution,52
annals of the entomological society of america,toxicon,52
american economic review,social science research,52
journal of the botanical research institute of texas,palz,52
molecular genetics and metabolism,nucleic acids research,52
european journal of taxonomy,venus,52
journal of the association of physicians of india,tobacco control,52
journal of taphonomy,pnas,52
