source,target,weight
poultry fancier,the western architect,3
boston globe,knoxville sentinel,3
poultry fancier,the chicago tribune,3
boston post,museum studies chicago,3
postmedieval,the journal of american history,3
boston post,bulletin of the art institute of chicago,3
postmedieval,the sciences,3
postmedieval,theory  event,3
boston phoenix,the new york times,3
boston museum bulletin,journal of near eastern studies,3
boston medical and surgical journal,the journal of school nursing,3
posttranscriptional gene regulation,rna,3
postu0229py higieny i medycyny dou015bwiadczalnej,science,3
boston med surg j,journal of urology,3
potchefstroom electronic law journal,south african journal on human rights,3
potchefstroom electronic law journalpotchefstroomse elektroniese regsblad,psychology of women quarterly,3
boston journal of natural history,molecules,3
boston home journal,musical courier,3
boston herald,the republican springfield,3
boston herald,spin,3
boston herald,newsweek,3
boston globe,the new yorker,3
boston globe,the new york world,3
boston globe,the national salinas kansas,3
boston globe,the earth burlington vermont,3
boston globe,the butte miner montana,3
boston globe,syracuse herald,3
poughkeepsie journal,the signal,3
poultry and avian biology reviews,trends in parasitology,3
poultry fancier,the american contractor,3
pragmatics  cognition,psychological review,3
pragmatics  cognition,science,3
bone marrow transplantation,cytogenetic and genome research,3
bonn zoological bulletin,historical biology,3
precambrian research,vestn akademiya nauk,3
precambrian research,vestnik ig komi sc ub ras,3
precambrian research,vestnik zoologii,3
bonn zoological bulletin,memoirs of the association of australasian palaeontologists,3
precambrian research,wildfowl,3
bonn zoological bulletin,linzer biologische beitrxe4ge,3
bonn zoological bulletin,lavori u2013 societxe0 veneziana di scienze naturali,3
precambrian research,ysxb 2005 vol  pages 171190,3
precambrian research,zookeys,3
bonn zoological bulletin,journal of south american earth sciences,3
bonn zoological bulletin,journal of herpetology,3
bonn zoological bulletin,journal of crustacean biology,3
precambrian research,zoological science,3
bonn zoological bulletin,geological bulletin of china,3
precambrian research,university of california riverside campus museum contribution,3
bonn zoological bulletin,frontiers in earth science,3
bonn zoological bulletin,far eastern entomologist,3
bonn zoological bulletin,copeia,3
bonn zoological bulletin,chinese science bulletin,3
bonn zoological bulletin,canadian journal of earth sciences,3
bonn zool monogr,journal fxfcr ornithologie,3
bonn zool monogr,british birds,3
bonn zool beitr,veterinary parasitology,3
bonekeyosteovision,the journal of clinical endocrinology and metabolism,3
bonekeyosteovision,ibms bonekey,3
bonekey reports,the new england journal of medicine,3
bonekey reports,the journal of steroid biochemistry and molecular biology,3
precision ccd photometry,revista mexicana de astronomxeda y astrofxedsica,3
bonn zoological bulletin,nature communications,3
precambrian research,turkish journal of earth sciences,3
books abroad,modern language notes,3
bonner zoologische beitrxe4ge,journal fxfcr ornithologie,3
bonner zoologische beitrxe4ge,tijdschrift voor entomologie,3
bonner zoologische beitrxe4ge,the canadian entomologist,3
bonner zoologische beitrxe4ge,the auk,3
precambrian research,special publications geological society of london,3
precambrian research,swiss journal of geosciences,3
bonner zoologische beitrxe4ge,plos biology,3
bonner zoologische beitrxe4ge,plant protection news supplements,3
bonner zoologische beitrxe4ge,oecologia,3
bonner zoologische beitrxe4ge,mitteilungen aus dem zoologischen museum in berlin,3
bonner zoologische beitrxe4ge,mammalia,3
bonner zoologische beitrxe4ge,journal of systematic palaeontology,3
bonner zoologische beitrxe4ge,journal of raptor research,3
bonner zoologische beitrxe4ge,journal of biogeography,3
bonner zoologische beitrxe4ge,invertebrate taxonomy,3
precambrian research,trends in microbiology,3
precambrian research,syst biol,3
bonner zoologische beitrxe4ge,far eastern entomologist,3
bonner zoologische beitrxe4ge,encyclopxe8die entomologique b ii diptera,3
bonner zoologische beitrxe4ge,dipterological research,3
bonner zoologische beitrxe4ge,bulletin of the british museum natural history entomology,3
bonner zoologische beitraege,proceedings of the national academy of sciences usa,3
precambrian research,the holocene,3
bonn zoological bulletin,zoological science,3
bonn zoological bulletin,turkish journal of zoology,3
bonn zoological bulletin,studi e ricerche sui giacimenti terziari di bolca xiv  miscellanea paleontologica,3
precambrian research,the palaeobotanist,3
bonn zoological bulletin,polish journal of entomology,3
precambrian research,the wilson journal of ornithology,3
precision nanomedicine,the cochrane database of systematic reviews,3
bonekey reports,nature,3
bonekey reports,journal of cellular biochemistry,3
prehospital emergency care,the journal of emergency medicine,3
prehospital and disaster medicine,prehospital emergency care,3
bone marrow transplantation,neoplasma,3
prehospital and disaster medicine,the annals of thoracic surgery,3
bone marrow transplantation,nature reviews genetics,3
prehospital emergency care,resuscitation science section 11,3
bone marrow transplantation,lancet haematology,3
prehospital emergency care,scandinavian journal of trauma resuscitation and emergency medicine,3
bone marrow transplantation,journal of pediatric hematologyoncology,3
bone marrow transplantation,journal of nuclear medicine,3
prehospital emergency care,spine,3
prehospital emergency care,stress and health,3
bone marrow transplantation,journal of chemotherapy,3
bone marrow transplantation,journal of carcinogenesis,3
