source,target,weight
acm transactions on graphics,proceedings of the international astronomical union,1
acm transactions on graphics,proceedings of the astronomical society of australia,1
acm transactions on graphics,proceedings of the 32nd international conference on machine learning icml15,1
acm transactions on graphics,proceedings of the 23rd annual conference on computer graphics and interactive techniques  siggraph 96,1
acm transactions on graphics,proceedings of the 2013 acm international joint conference on pervasive and ubiquitous computing,1
acm transactions on graphics,proceedings of the 2008 c3s2e conference,1
acm transactions on graphics,proceedings of the 19th symposium on interactive 3d graphics and games,1
acm transactions on graphics,proceedings of the 1995 international meeting on fully threedimensional image reconstruction in radiology and nuclear medicine,1
acm transactions on graphics,proceedings of the 12th ieee workshop on neural networks for signal processing,1
acm transactions on graphics,proceedings of siggraph,1
acm transactions on graphics,proceedings of ifip international federation for information processing congress,1
acm transactions on graphics,proceedings of 3rd ieee international conference on image processing,1
acm transactions on graphics,proceedings in applied mathematics and mechanics,1
acm transactions on graphics,presence teleoperators and virtual environments,1
revue de palxe9obiologie genxe8ve,subterranean biology,1
acm transactions on graphics,postdigital science and education,1
acm transactions on graphics,plos biology,1
acm transactions on graphics,reviews of modern physics,1
acm transactions on graphics,scholarpedia,1
revue de palxe9obiologie,the auk,1
acm transactions on graphics,siam journal on scientific computing,1
revue de palxe9obiologie,the canadian entomologist,1
revue de palxe9obiologie,the dinosaur museum journal,1
revue de palxe9obiologie,the journal of the society of architectural historians,1
acm transactions on graphics,springer,1
acm transactions on graphics,space science reviews,1
revue de palxe9obiologie,travaux du musxe9um dhistoire naturelle grigore antipa,1
revue de palxe9obiologie,trudy zoologicheskogo instituta akademii nauk sssr,1
revue de palxe9obiologie,uni zxfcrich,1
revue de palxe9obiologie,verhandlungen des naturhistorischmedizinischen vereins zu heidelberg,1
acm transactions on graphics,solar physics,1
revue de palxe9obiologie,vertebrate palasiatica,1
revue de palxe9obiologie,wiener museum annalen,1
revue de palxe9obiologie,world journal of zoology,1
revue de palxe9obiologie,xc9cole pratique des hautes xc9tudes biologie et xc9volution des insectes,1
revue de palxe9obiologie,zeitschrift der deutschen geologischen gesellschaft,1
revue de palxe9obiologie,zitteliana,1
revue de palxe9obiologie,zitteliana reihe b abhandlungen der bayerischen staatssammlung fxfcr palxe4ontologie und geologie,1
revue de palxe9obiologie,zookeys,1
revue de palxe9obiologie,zoosystematica rossica,1
acm transactions on graphics,simulation  gaming,1
acm transactions on graphics,siggraph computer graphics,1
revue de lenseignement des langues vivantes,the crown colonist,1
revue de lenseignement des langues vivantes,the calcutta review,1
revue de thxe9ologie,revue de thxe9ologie et de philosophie et compterendu des principales publications scientifiques,1
revue bibliographique de sinologie,the china quarterly,1
revue belge de philologie et dhistoire,the mediaeval journal,1
revue belge de philologie et dhistoire,the slavonic and east european review,1
revue belge de philologie et dhistoire,the university of michigan,1
revue belge de philologie et dhistoire,the world bank,1
revue belge de philologie et dhistoire,traditio,1
revue belge de philologie et dhistoire,ucla encyclopedia of egyptology,1
acm transactions on information systems,bitch magazine,1
revue belge de philologie et dhistoire,world cultures,1
revue belge des sciences mxe9dicales,the biochemical journal,1
revue bibliographique de sinologie,sinoplatonic papers,1
acm transactions on information systems,big data  society,1
revue canadienne dxc9tudes cinxe9matographiques  canadian journal of film studies,the nation,1
revue bibliographique de sinologie,the silk road,1
revue bibliographique de sinologie,the tibet journal,1
acm transactions on information systems,bell system technical journal,1
revue bibliographique de sinologie,u4e9au6d32u7814u7a76,1
revue bibliographique de sinologie,u5317u4eacu5927u5b66u5b66u62a5u54f2u5b66u793eu4f1au79d1u5b66u7248 journal of peking universityphilosophy and social sciences,1
revue bibliographique de sinologie,u957fu5b89u5b66u520a,1
revue bibliographique de sinologie,uff08u539fu8f7du300au4e2du56fdu793eu4f1au7ecfu6d4eu53f2u7814u7a76u300buff09,1
revue biblique,sewanee theological review,1
revue biblique,syria,1
acm transactions on information systems,autonomous agents and multiagent systems,1
revue belge de philologie et dhistoire,the journal of the anthropological institute of great britain and ireland,1
revue belge de philologie et dhistoire,the journal of economic history,1
revue belge de philologie et dhistoire,the journal of american folklore,1
revue belge de philologie et dhistoire,the italianist,1
acm transactions on information systems,british medical journal,1
revue belge de mxe9decine dentaire,the journal of evidencebased dental practice,1
revue belge de mxe9decine dentaire,the journal of the american osteopathic association,1
revue belge de mxe9decine dentaire,the open medical imaging journal,1
revue belge de mxe9decine dentaire,ultrasound in medicine  biology,1
revue belge de numismatique,revue belge de numismatique,1
acm transactions on information systems,boston college law review,1
revue belge de philologie et dhistoire,revue des mondes musulmans et de la mxe9diterranxe9e,1
revue belge de philologie et dhistoire,rivista degli studi orientali,1
revue belge de philologie et dhistoire,romanistisches jahrbuch,1
revue belge de philologie et dhistoire,rural history,1
revue belge de philologie et dhistoire,russian review,1
revue belge de philologie et dhistoire,soc biol,1
revue belge de philologie et dhistoire,social evolution  history,1
revue belge de philologie et dhistoire,social history,1
acm transactions on information systems,bmc bioinformatics,1
revue belge de philologie et dhistoire,sprogforum,1
revue belge de philologie et dhistoire,texas journal of women  the law,1
revue belge de philologie et dhistoire,the classical quarterly,1
revue belge de philologie et dhistoire,the history of the family,1
revue belge de philologie et dhistoire,the international history review,1
revue biblique,the art bulletin,1
revue biblique,the classical journal,1
acm transactions on information systems,artificial intelligence and law,1
revue britannique,the oracle of rural life and sportsmans almanack,1
revue britannique,the weekly notes part i,1
acm transactions on information systems,american journal of psychiatry,1
acm transactions on information systems,advances in consumer research,1
acm transactions on information systems,acm transactions on knowledge discovery from data tkdd,1
acm transactions on information systems,acm transactions on intelligent systems and technology,1
acm transactions on information systems,acm transactions on information systems,1
