ID;size
american museum novitates;1305
counselor education and supervision;14
development;1215
europeasia studies;299
folklore;462
foreign affairs;671
journal of personality and social psychology;2105
personality and social psychology bulletin;407
psychological bulletin;1074
russian history;87
russian review;154
slavic review;536
the journal of modern history;383
the slavonic and east european review;315
