journal1,journal2,weight
Cellular and Molecular Life Sciences,Journal of Biological Chemistry,218
PLoS ONE,The Journal of Neuroscience,218
Monthly Notices of the Royal Astronomical Society,Publications of the Astronomical Society of the Pacific,218
Nature Cell Biology,Science,218
PLoS ONE,Palaeogeography Palaeoclimatology Palaeoecology,218
Nature,The Journal of Experimental Medicine,218
Journal of Biological Chemistry,Trends in Biochemical Sciences,218
J Mol Biol,Science,218
EMBO Rep,Nucleic Acids Res,218
Acta Palaeontologica Polonica,Palaeontology,218
Mol Cell Biol,The Biochemical Journal,217
Animal Behaviour,PLoS ONE,217
Journal of Systematic Palaeontology,PLoS ONE,217
Nature,Trends in Biochemical Sciences,216
Applied and Environmental Microbiology,PNAS,216
PNAS,Trends in Ecology  Evolution,215
Blood,Gene,215
Neuron,PLoS ONE,215
Cochrane Database of Systematic Reviews,Lancet,215
PNAS,Trends in Genetics,215
Genome Res,Nat Cell Biol,215
Cell,Proc Natl Acad Sci U S A,214
Cell Cycle,PNAS,214
Cell,The Journal of Clinical Investigation,214
BioScience,Nature,214
Biochim Biophys Acta,Science,213
Cell,Hum Mol Genet,213
FASEB J,Journal of Biological Chemistry,213
Biochemical and Biophysical Research Communications,Human Molecular Genetics,213
J Cell Biol,J Cell Sci,213
PNAS,The American Naturalist,212
Cell Cycle,Journal of Biological Chemistry,212
FEBS Letters,Gene,212
Biochimica et Biophysica Acta,Journal of Molecular Biology,211
Human Mutation,Journal of Biological Chemistry,211
FEBS Letters,Nucleic Acids Research,211
PNAS,Science Advances,211
American Journal of Physical Anthropology,Nature,211
Biochemistry,Nucleic Acids Research,211
Cancer Res,Mol Cell Biol,211
Journal of Immunology,The Journal of Experimental Medicine,210
Annual Review of Biochemistry,Science,210
Astronomy Letters,Monthly Notices of the Royal Astronomical Society,210
Mol Biol Cell,Nat Genet,210
Circulation,Nature,210
American Family Physician,The Cochrane Database of Systematic Reviews,210
Diabetes,Journal of Biological Chemistry,210
Nature,Neurology,209
Cell,Journal of Immunology,209
FASEB J,PNAS,209
Biochemical and Biophysical Research Communications,The Journal of Cell Biology,209
Chemical Reviews,Science,209
Annals of Internal Medicine,The Cochrane Database of Systematic Reviews,208
Molecular Ecology,Science,208
PLOS Genetics,PNAS,208
Genome Research,The EMBO Journal,208
Nature,RNA,208
Nature Structural  Molecular Biology,PNAS,208
Biochemistry,The EMBO Journal,208
Cell,J Cell Sci,208
Naturwissenschaften,PLoS ONE,207
JAMA,N Engl J Med,207
Biochim Biophys Acta,Cell,207
Genome Biology,Journal of Biological Chemistry,207
NME,Spin,207
Journal of Bacteriology,Science,207
EMBO Reports,Science,207
Nature,Virology,206
Blood,Journal of Immunology,206
Biochemical and Biophysical Research Communications,Journal of Immunology,206
Astronomy and Astrophysics,VizieR Online Data Catalog Bgcvs  Originally Published in 2009yCat102025S,206
The New York Times,Variety,206
Nature,Physical Review,206
Blood,Genome Res,206
Molecular Ecology,PNAS,205
JAMA,PNAS,205
Bioinformatics,PNAS,205
Journal of Personality and Social Psychology,Psychological Science,205
EMBO J,The Biochemical Journal,205
FEBS Letters,Journal of Molecular Biology,205
American Journal of Human Genetics,Genomics,205
Cell,Genome Biol,205
New Scientist,Science,205
The Astronomical Journal,The Astrophysical Journal Supplement Series,205
Cell,The Journal of Neuroscience,205
Genome Res,J Immunol,204
Hum Genet,Nature,204
Nature Reviews Microbiology,PNAS,204
PeerJ,Science,204
DNA Res,Genomics,204
Astrophysical Journal,Nature,204
Ecology,Nature,204
Nature,Physical Review B,204
PLoS ONE,The Biochemical Journal,204
Chemical Reviews,Nature,204
Journal of Personality and Social Psychology,Personality and Social Psychology Bulletin,203
FASEB Journal,PNAS,203
Journal of the American Chemical Society,The Journal of Organic Chemistry,203
J Neurosci,Science,203
Genes Dev,Genomics,203
EMBO Reports,Journal of Biological Chemistry,202
Science,Trends in Genetics,202
Journal of Experimental Biology,Nature,202
Palaeontology,Science,202
Journal of Biological Chemistry,Journal of Neurochemistry,202
J Virol,Nature,202
Nature Genetics,The EMBO Journal,202
Nature,PLOS Genetics,202
American Journal of Human Genetics,Human Genetics,202
International Journal of Cancer,Journal of Biological Chemistry,202
Eur J Biochem,Genomics,201
Nat Genet,Proc Natl Acad Sci U S A,201
Nature,Philosophical Transactions of the Royal Society B Biological Sciences,201
Astronomy  Astrophysics,Astronomy Letters,201
Cellular and Molecular Life Sciences,Nature,201
Molecular Cell,Nucleic Acids Research,201
Mamm Genome,PNAS,201
Astronomy  Astrophysics,Astrophysical Journal,201
Human Mutation,PNAS,200
Journal of Personality and Social Psychology,Psychological Review,200
American Journal of Physical Anthropology,PLoS ONE,200
FEBS Letters,Genome Research,200
