journal1,journal2,weight
Journal of Vertebrate Paleontology,PLoS ONE,508
Cancer Research,Journal of Biological Chemistry,505
Molecular Cell,Nature,504
Neuron,Science,504
Science,The EMBO Journal,501
Oncogene,Science,501
Lancet,The Cochrane Database of Systematic Reviews,500
Cell,The Biochemical Journal,500
Journal of the American Chemical Society,Science,498
Molecular Cell,PNAS,498
Human Molecular Genetics,Journal of Biological Chemistry,497
Genes  Development,PNAS,496
Astronomy  Astrophysics,The Astronomical Journal,495
DNA Res,Nat Genet,495
Genes Dev,PNAS,494
Cell,Genome Research,493
Cell,Molecular Cell,491
Biochimica et Biophysica Acta,Nature,490
Lancet,The New England Journal of Medicine,490
Genome Research,Science,489
J Mol Biol,Journal of Biological Chemistry,488
Mol Cell,PNAS,487
DNA Res,Journal of Biological Chemistry,486
Genomics,Mol Cell Biol,484
PNAS,The Journal of Cell Biology,484
Hum Mol Genet,Journal of Biological Chemistry,483
Cancer Research,PNAS,483
Genomics,Oncogene,482
Eur J Biochem,Journal of Biological Chemistry,479
Journal of Biological Chemistry,Mol Cell,479
Human Molecular Genetics,PNAS,475
Nature,Scientific American,475
The NamesforLife Abstracts,wwwstraininfonet,474
Lancet,PLoS ONE,474
Journal of the American Chemical Society,Nature,473
PNAS,Proc Natl Acad Sci U S A,473
Lancet,PNAS,473
Cell,Genes  Development,470
Molecular and Cellular Biology,The EMBO Journal,469
Genes  Development,Nature,468
Cell,Nature Genetics,466
J Cell Sci,PNAS,460
Genes  Development,Journal of Biological Chemistry,460
Biochemistry,Cell,459
Genome Res,Oncogene,458
Science,The Biochemical Journal,456
Nature,Proceedings of the Royal Society B Biological Sciences,456
Molecular Biology and Evolution,PNAS,456
DNA Res,Nature,456
Journal of Biological Chemistry,Neuron,452
Mol Biol Cell,PNAS,451
Nat Genet,Science,450
Biochemistry,Genomics,449
Genetics,PNAS,448
Science,Scientific American,446
J Cell Biol,Nature,445
J Immunol,PNAS,444
Genetics,Nature,443
Biochemistry,The Biochemical Journal,440
J Cell Sci,Journal of Biological Chemistry,439
Curr Biol,Nature,437
Biochemical and Biophysical Research Communications,PLoS ONE,436
Journal of Biological Chemistry,Journal of Immunology,435
Biochemical and Biophysical Research Communications,FEBS Lett,434
Molecular and Cellular Biology,Science,432
American Journal of Human Genetics,Journal of Biological Chemistry,431
J Immunol,Journal of Biological Chemistry,431
Biochim Biophys Acta,Nature,430
Genome Res,Nat Biotechnol,429
Eur J Biochem,PNAS,426
American Journal of Human Genetics,Nature,426
Genes Dev,Journal of Biological Chemistry,423
Cell,Current Biology,421
