,journal1,journal2,weight
155,Journal of Biological Chemistry,The Journal of Cell Biology,552
156,Nature Genetics,Science,552
157,Am J Hum Genet,PNAS,549
158,Physical Review Letters,Science,543
159,FEBS Lett,Genome Res,543
160,FEBS Lett,Nature,542
161,FEBS Letters,Nature,539
162,Cancer Res,PNAS,538
163,Journal of Molecular Biology,Nature,534
164,Genome Res,Science,532
165,Cancer Res,Journal of Biological Chemistry,529
166,Nat Biotechnol,PNAS,527
167,JAMA,Lancet,526
168,Genomics,The Biochemical Journal,520
169,Nucleic Acids Research,Science,520
170,Journal of Biological Chemistry,Molecular Cell,519
171,Nature Communications,PLoS ONE,516
172,Curr Biol,PNAS,512
173,American Journal of Human Genetics,PNAS,509
174,Journal of Vertebrate Paleontology,PLoS ONE,508
175,Cancer Research,Journal of Biological Chemistry,505
176,Molecular Cell,Nature,504
177,Neuron,Science,504
178,Science,The EMBO Journal,501
179,Oncogene,Science,501
180,Lancet,The Cochrane Database of Systematic Reviews,500
181,Cell,The Biochemical Journal,500
182,Journal of the American Chemical Society,Science,498
183,Molecular Cell,PNAS,498
184,Human Molecular Genetics,Journal of Biological Chemistry,497
185,Genes  Development,PNAS,496
186,Astronomy  Astrophysics,The Astronomical Journal,495
187,DNA Res,Nat Genet,495
188,Genes Dev,PNAS,494
189,Cell,Genome Research,493
190,Cell,Molecular Cell,491
191,Biochimica et Biophysica Acta,Nature,490
192,Lancet,The New England Journal of Medicine,490
193,Genome Research,Science,489
194,J Mol Biol,Journal of Biological Chemistry,488
195,Mol Cell,PNAS,487
196,DNA Res,Journal of Biological Chemistry,486
197,Genomics,Mol Cell Biol,484
198,PNAS,The Journal of Cell Biology,484
199,Hum Mol Genet,Journal of Biological Chemistry,483
200,Cancer Research,PNAS,483
201,Genomics,Oncogene,482
202,Eur J Biochem,Journal of Biological Chemistry,479
203,Journal of Biological Chemistry,Mol Cell,479
204,Human Molecular Genetics,PNAS,475
205,Nature,Scientific American,475
206,The NamesforLife Abstracts,wwwstraininfonet,474
207,Lancet,PLoS ONE,474
208,Journal of the American Chemical Society,Nature,473
209,PNAS,Proc Natl Acad Sci U S A,473
210,Lancet,PNAS,473
211,Cell,Genes  Development,470
212,Molecular and Cellular Biology,The EMBO Journal,469
213,Genes  Development,Nature,468
214,Cell,Nature Genetics,466
215,J Cell Sci,PNAS,460
216,Genes  Development,Journal of Biological Chemistry,460
217,Biochemistry,Cell,459
