,journal1,journal2,weight
686,Cellular and Molecular Life Sciences,PNAS,231
687,Nature,Trends in Genetics,231
688,Eur J Biochem,Genome Res,231
689,Neurology,PNAS,231
690,Circulation Research,Journal of Biological Chemistry,231
691,Journal of Biological Chemistry,Journal of the American Chemical Society,230
692,EMBO J,J Cell Biol,230
693,Astronomy and Astrophysics,Publications of the Astronomical Society of the Pacific,230
694,Anal Biochem,PNAS,230
695,Mol Cell,Science,230
696,PLoS ONE,The EMBO Journal,230
697,Nature Reviews Molecular Cell Biology,PNAS,230
698,Journal of Cell Science,Science,230
699,J Cell Biol,Mol Cell Biol,230
700,Current Biology,Scientific Reports,230
701,Nature,New England Journal of Medicine,230
702,NME,Q,230
703,Angewandte Chemie International Edition,Science,230
704,Journal of Immunology,Science,229
705,Curr Biol,Science,229
706,Journal of Bacteriology,Nature,229
707,J Exp Med,PNAS,229
708,DNA Research,Journal of Biological Chemistry,229
709,Int J Cancer,PNAS,229
710,Molecular Phylogenetics and Evolution,Science,228
711,Entertainment Weekly,NME,228
712,Cell,Scientific Reports,228
713,Science,Trends in Ecology  Evolution,227
714,Biochimica et Biophysica Acta,PLoS ONE,227
715,Monthly Notices of the Royal Astronomical Society,Science,227
716,Nature,Trends in Ecology  Evolution,227
717,Nat Cell Biol,Nature,227
718,Journal of Biological Chemistry,Virology,227
719,Anal Biochem,Genome Res,226
720,Genes  Development,Molecular Cell,226
721,Cytogenetics and Cell Genetics,Journal of Biological Chemistry,226
722,ZooKeys,Zootaxa,226
723,Astronomy and Astrophysics,The Astrophysical Journal Supplement Series,226
724,PNAS,Trends in Biochemical Sciences,226
725,Annals of Internal Medicine,BMJ,225
726,Billboard,Spin,225
727,Journal of Paleontology,PLoS ONE,225
728,Molecular and Cellular Biology,Nature Genetics,225
729,Molecular Phylogenetics and Evolution,Zootaxa,225
730,Cell,Mol Biol Cell,225
731,Nature Reviews Neuroscience,PNAS,225
732,Molecular Phylogenetics and Evolution,Nature,225
733,Cancer Research,PLoS ONE,224
734,Journal of Biological Chemistry,The New England Journal of Medicine,224
735,PLoS Biology,PNAS,224
736,Circulation,Lancet,224
737,Publications of the Astronomical Society of the Pacific,The Astronomical Journal,223
738,Cytogenet Cell Genet,Nature,223
739,Gene,The EMBO Journal,223
740,Nature,Nature Structural  Molecular Biology,223
741,Palaeogeography Palaeoclimatology Palaeoecology,Science,222
742,Genomics,J Cell Biol,222
743,Proceedings of the Royal Society B,Science,222
744,Biochimica et Biophysica Acta,Genomics,222
745,Neuroscience,PNAS,221
746,Cell,Journal of Virology,221
747,Biochemical and Biophysical Research Communications,Cancer Research,221
748,Cancer Research,Molecular and Cellular Biology,221
749,Blood,PLoS ONE,221
750,Entertainment Weekly,Q,220
751,Journal of Human Evolution,Nature,220
752,Monthly Notices of the Royal Astronomical Society,The Astrophysical Journal Supplement Series,220
753,Journal of Molecular Biology,PLoS ONE,220
754,Cancer Res,Genomics,219
755,Ecology,Science,219
756,Journal of Molecular Biology,The EMBO Journal,219
757,Cellular and Molecular Life Sciences,Journal of Biological Chemistry,218
758,PLoS ONE,The Journal of Neuroscience,218
759,Monthly Notices of the Royal Astronomical Society,Publications of the Astronomical Society of the Pacific,218
760,Nature Cell Biology,Science,218
761,PLoS ONE,Palaeogeography Palaeoclimatology Palaeoecology,218
762,Nature,The Journal of Experimental Medicine,218
763,Journal of Biological Chemistry,Trends in Biochemical Sciences,218
764,J Mol Biol,Science,218
765,EMBO Rep,Nucleic Acids Res,218
766,Acta Palaeontologica Polonica,Palaeontology,218
767,Mol Cell Biol,The Biochemical Journal,217
768,Animal Behaviour,PLoS ONE,217
769,Journal of Systematic Palaeontology,PLoS ONE,217
770,Nature,Trends in Biochemical Sciences,216
771,Applied and Environmental Microbiology,PNAS,216
772,PNAS,Trends in Ecology  Evolution,215
773,Blood,Gene,215
774,Neuron,PLoS ONE,215
775,Cochrane Database of Systematic Reviews,Lancet,215
776,PNAS,Trends in Genetics,215
777,Genome Res,Nat Cell Biol,215
778,Cell,Proc Natl Acad Sci U S A,214
779,Cell Cycle,PNAS,214
780,Cell,The Journal of Clinical Investigation,214
781,BioScience,Nature,214
782,Biochim Biophys Acta,Science,213
783,Cell,Hum Mol Genet,213
784,FASEB J,Journal of Biological Chemistry,213
785,Biochemical and Biophysical Research Communications,Human Molecular Genetics,213
786,J Cell Biol,J Cell Sci,213
787,PNAS,The American Naturalist,212
788,Cell Cycle,Journal of Biological Chemistry,212
789,FEBS Letters,Gene,212
790,Biochimica et Biophysica Acta,Journal of Molecular Biology,211
791,Human Mutation,Journal of Biological Chemistry,211
792,FEBS Letters,Nucleic Acids Research,211
793,PNAS,Science Advances,211
794,American Journal of Physical Anthropology,Nature,211
795,Biochemistry,Nucleic Acids Research,211
796,Cancer Res,Mol Cell Biol,211
797,Journal of Immunology,The Journal of Experimental Medicine,210
798,Annual Review of Biochemistry,Science,210
799,Astronomy Letters,Monthly Notices of the Royal Astronomical Society,210
800,Mol Biol Cell,Nat Genet,210
801,Circulation,Nature,210
802,American Family Physician,The Cochrane Database of Systematic Reviews,210
803,Diabetes,Journal of Biological Chemistry,210
804,Nature,Neurology,209
805,Cell,Journal of Immunology,209
806,FASEB J,PNAS,209
807,Biochemical and Biophysical Research Communications,The Journal of Cell Biology,209
808,Chemical Reviews,Science,209
809,Annals of Internal Medicine,The Cochrane Database of Systematic Reviews,208
810,Molecular Ecology,Science,208
811,PLOS Genetics,PNAS,208
812,Genome Research,The EMBO Journal,208
813,Nature,RNA,208
814,Nature Structural  Molecular Biology,PNAS,208
815,Biochemistry,The EMBO Journal,208
816,Cell,J Cell Sci,208
817,Naturwissenschaften,PLoS ONE,207
818,JAMA,N Engl J Med,207
819,Biochim Biophys Acta,Cell,207
820,Genome Biology,Journal of Biological Chemistry,207
821,NME,Spin,207
822,Journal of Bacteriology,Science,207
823,EMBO Reports,Science,207
824,Nature,Virology,206
825,Blood,Journal of Immunology,206
826,Biochemical and Biophysical Research Communications,Journal of Immunology,206
827,Astronomy and Astrophysics,VizieR Online Data Catalog Bgcvs  Originally Published in 2009yCat102025S,206
828,The New York Times,Variety,206
829,Nature,Physical Review,206
830,Blood,Genome Res,206
831,Molecular Ecology,PNAS,205
832,JAMA,PNAS,205
833,Bioinformatics,PNAS,205
834,Journal of Personality and Social Psychology,Psychological Science,205
835,EMBO J,The Biochemical Journal,205
836,FEBS Letters,Journal of Molecular Biology,205
837,American Journal of Human Genetics,Genomics,205
838,Cell,Genome Biol,205
839,New Scientist,Science,205
840,The Astronomical Journal,The Astrophysical Journal Supplement Series,205
841,Cell,The Journal of Neuroscience,205
842,Genome Res,J Immunol,204
843,Hum Genet,Nature,204
844,Nature Reviews Microbiology,PNAS,204
845,PeerJ,Science,204
846,DNA Res,Genomics,204
847,Astrophysical Journal,Nature,204
848,Ecology,Nature,204
849,Nature,Physical Review B,204
850,PLoS ONE,The Biochemical Journal,204
851,Chemical Reviews,Nature,204
852,Journal of Personality and Social Psychology,Personality and Social Psychology Bulletin,203
853,FASEB Journal,PNAS,203
854,Journal of the American Chemical Society,The Journal of Organic Chemistry,203
855,J Neurosci,Science,203
856,Genes Dev,Genomics,203
857,EMBO Reports,Journal of Biological Chemistry,202
858,Science,Trends in Genetics,202
859,Journal of Experimental Biology,Nature,202
860,Palaeontology,Science,202
861,Journal of Biological Chemistry,Journal of Neurochemistry,202
862,J Virol,Nature,202
863,Nature Genetics,The EMBO Journal,202
864,Nature,PLOS Genetics,202
865,American Journal of Human Genetics,Human Genetics,202
866,International Journal of Cancer,Journal of Biological Chemistry,202
867,Eur J Biochem,Genomics,201
868,Nat Genet,Proc Natl Acad Sci U S A,201
869,Nature,Philosophical Transactions of the Royal Society B Biological Sciences,201
870,Astronomy  Astrophysics,Astronomy Letters,201
871,Cellular and Molecular Life Sciences,Nature,201
872,Molecular Cell,Nucleic Acids Research,201
873,Mamm Genome,PNAS,201
874,Astronomy  Astrophysics,Astrophysical Journal,201
875,Human Mutation,PNAS,200
876,Journal of Personality and Social Psychology,Psychological Review,200
877,American Journal of Physical Anthropology,PLoS ONE,200
878,FEBS Letters,Genome Research,200
