source,target,weight
paleontological journal,plos one,3110
pnas,the biochemical journal,3103
genome research,pnas,3032
acta palaeontologica polonica,journal of paleontology,3019
cell,plos one,3014
journal of vertebrate paleontology,zootaxa,3010
journal of biological chemistry,nature genetics,3008
icarus,journal of geophysical research,3006
journal of biological chemistry,mol cell,3004
journal of vertebrate paleontology,proceedings of the royal society b biological sciences,3004
molecular biology and evolution,pnas,2999
cell,nucleic acids research,2989
cretaceous research,earth and environmental science transactions of the royal society of edinburgh,2984
cretaceous research,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,2961
journal of paleontology,peerj,2961
cretaceous research,systematic entomology,2953
journal of vertebrate paleontology,palaeogeography palaeoclimatology palaeoecology,2952
the cochrane database of systematic reviews,the new england journal of medicine,2936
folklore,man,2935
acta palaeontologica polonica,scientific reports,2933
mol cell biol,nature,2933
geology,science,2927
biochemical and biophysical research communications,pnas,2927
the astrophysical journal,the astrophysical journal letters,2923
nature,plos biology,2922
palaeogeography palaeoclimatology palaeoecology,pnas,2921
lpsn,wwwuniprotorg,2919
journal of systematic palaeontology,scientific reports,2908
palaeontology,plos one,2897
genes  development,pnas,2897
europeasia studies,slavic review,2891
russian review,the slavonic and east european review,2886
cretaceous research,palaeodiversity,2868
pnas,proceedings of the royal society b biological sciences,2861
journal of vertebrate paleontology,vertebrata palasiatica,2855
icarus,the astrophysical journal,2853
journal of paleontology,palaeogeography palaeoclimatology palaeoecology,2842
palaeogeography palaeoclimatology palaeoecology,plos one,2841
cell,the embo journal,2831
astrophysical journal,the astrophysical journal,2831
journal of the american chemical society,science,2818
nature,nature biotechnology,2801
cell,molecular cell,2798
cell,genes  development,2798
molecular biology and evolution,nature,2782
acta palaeontologica polonica,zootaxa,2780
bioinformatics,nucleic acids res,2760
jama,lancet,2759
genetics,pnas,2754
molecular cell,nature,2753
proceedings of the royal society b biological sciences,scientific reports,2745
peerj,zoological journal of the linnean society,2740
journal of biological chemistry,neuron,2738
cretaceous research,palaeogeography palaeoclimatology palaeoecology,2701
palaeontology,scientific reports,2698
comptes rendus palevol,cretaceous research,2683
genetics,nature,2679
acta palaeontologica polonica,paleontological journal,2676
journal of vertebrate paleontology,royal society open science,2671
genes  development,nature,2665
nature,proceedings of the royal society b biological sciences,2664
historical biology an international journal of paleobiology,journal of systematic palaeontology,2662
american journal of physical anthropology,journal of human evolution,2661
geophysical research letters,nature,2659
bioinformatics,bmc bioinformatics,2656
molecular cell,pnas,2654
nature,neuron,2649
journal of geophysical research,nature,2639
embo j,mol cell biol,2635
genome research,journal of biological chemistry,2633
pnas,the journal of neuroscience,2627
journal of systematic palaeontology,peerj,2626
journal of paleontology,pnas,2620
neuron,pnas,2615
monthly notices of the royal astronomical society,nature,2598
j immunol,journal of biological chemistry,2590
genome res,genomics,2585
paleontological journal,scientific reports,2578
journal of mammalian evolution,journal of vertebrate paleontology,2571
lloyds list,new lloyds list,2570
palaeontology,peerj,2557
biochemistry,nature,2549
peerj,pnas,2532
journal of paleontology,nature,2530
gigascience,science,2525
historical biology an international journal of paleobiology,journal of paleontology,2524
international journal of systematic and evolutionary microbiology,lpsn,2514
journal of the american chemical society,nature,2507
molecular and cellular biology,oncogene,2501
nat genet,nature,2498
genes dev,journal of biological chemistry,2489
lancet,the new england journal of medicine,2484
palaeogeography palaeoclimatology palaeoecology,peerj,2475
international journal of systematic and evolutionary microbiology,wwwuniprotorg,2464
geology,nature,2461
journal of biological chemistry,journal of cell science,2455
journal of molecular biology,nature,2452
acta palaeontologica polonica,historical biology an international journal of paleobiology,2447
scientific reports,zootaxa,2447
nature,peerj,2430
slavic review,the russian review,2419
genome research,science,2418
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,zootaxa,2417
american journal of human genetics,pnas,2398
human molecular genetics,journal of biological chemistry,2390
astronomy  astrophysics,the astronomical journal,2388
plos biology,science,2386
scientific reports,zoological journal of the linnean society,2380
j cell sci,journal of biological chemistry,2379
american journal of physical anthropology,plos one,2379
journal of biological chemistry,journal of virology,2371
lancet,science,2369
nature,new scientist,2366
palaeontology,paleontological journal,2362
nature,nucleic acids res,2357
nature,nature reviews genetics,2356
slavic review,soviet studies,2356
cretaceous research,pnas,2355
molecular and cellular biology,the embo journal,2355
historical biology an international journal of paleobiology,paleontological journal,2353
american journal of human genetics,nature,2353
palaeontologia electronica,plos one,2353
acta palaeontologica polonica,journal of systematic palaeontology,2352
physical review a,physical review letters,2351
journal of bacteriology,pnas,2350
annals of internal medicine,the cochrane database of systematic reviews,2344
febs letters,pnas,2342
