source,target,weight
the astrophysical journal,annual review of astronomy and astrophysics,858
mol cell biol,cancer res,857
mycologia,mycopathologia,856
zootaxa,palaeogeography palaeoclimatology palaeoecology,856
the cochrane database of systematic reviews,obstetrics and gynecology,850
journal of applied psychology,personnel psychology,849
journal of biological chemistry,human mutation,848
cell,cancer res,847
the atlantic,vanity fair,846
plos one,bioinformatics,846
journal of paleontology,canadian journal of earth sciences,846
paleontological journal,comptes rendus palevol,844
nature,nature reviews neuroscience,843
the journal of modern history,foreign affairs,842
nature,journal of molecular evolution,842
geology,earth and planetary science letters,841
science,nature materials,841
pnas,philosophical transactions of the royal society b,841
wwwuniprotorg,wwwstraininfonet,841
icarus,astronomy  astrophysics,840
science,molecular microbiology,838
pnas,new scientist,837
science,planetary and space science,837
journal of paleontology,american museum novitates,835
journal of biological chemistry,j neurochem,834
nature,nature reviews microbiology,832
pnas,current anthropology,832
physical review letters,physical review e,831
j am chem soc,tetrahedron lett,831
pnas,cell stem cell,830
pnas,genome biology and evolution,830
analytical chemistry,journal of the american society for mass spectrometry,830
cretaceous research,zoological systematics,830
journal of biological chemistry,cellular signalling,829
physical review d,journal of high energy physics,828
pnas,neurology,827
historical biology an international journal of paleobiology,palaeoworld,827
bmj,annals of the royal college of surgeons of england,827
historical biology an international journal of paleobiology,biology letters,826
journal of paleontology,lethaia,826
the cochrane database of systematic reviews,the lancet neurology,826
paleontological journal,palz,825
science,paleontological journal,825
nat genet,am j hum genet,824
science,annals of the new york academy of sciences,824
journal of vertebrate paleontology,journal of african earth sciences,824
zoological journal of the linnean society,the anatomical record,824
nat genet,hum mol genet,824
nature,behavioral ecology and sociobiology,823
zootaxa,far eastern entomologist,822
journal of biological chemistry,nature structural biology,822
nature,molecular biology of the cell,821
plos one,forensic science international genetics,820
journal of biological chemistry,nat biotechnol,820
science,nature reviews molecular cell biology,819
science,bmj,818
historical biology an international journal of paleobiology,nature ecology  evolution,817
journal of vertebrate paleontology,journal of anatomy,817
cell,molecular biology of the cell,816
journal of biological chemistry,trends in biochemical sciences,816
nucleic acids research,genome biology,814
science,human molecular genetics,814
astronomy and astrophysics,publications of the astronomical society of the pacific,813
zootaxa,boletxedn de la sociedad geolxf3gica mexicana,813
icarus,astronomy and astrophysics,813
european journal of human genetics,forensic science international genetics,813
journal of vertebrate paleontology,annales de palxe9ontologie,812
plos one,palxe4ontologische zeitschrift,812
cell,plos genetics,812
nature,biographical memoirs of fellows of the royal society,811
journal of biological chemistry,protein science,811
journal of systematic palaeontology,geological magazine,811
genome res,j cell biol,810
pnas,cell cycle,809
science,nature cell biology,809
current biology,palaeogeography palaeoclimatology palaeoecology,808
plos one,journal of human genetics,807
icarus,nature geoscience,807
pnas,annual review of genetics,807
nature,nature materials,805
nature,immunity,805
zootaxa,geodiversitas,805
cretaceous research,geosciences,805
nature,european journal of human genetics,799
science,nature reviews microbiology,798
plos one,bmj,797
peerj,science advances,797
nature,acta ophthalmologica,796
pnas,microbiology and molecular biology reviews,795
palaeogeography palaeoclimatology palaeoecology,quaternary research,795
cell,rna,795
pnas,comptes rendus palevol,793
journal of systematic palaeontology,bulletin of geosciences,793
the cochrane database of systematic reviews,human reproduction update,792
lancet,neurology,791
nature,current anthropology,789
science,annual review of biochemistry,789
journal of biological chemistry,molecular microbiology,788
jesus college newsletter,jesus college record,788
mol cell biol,j cell biol,783
lancet,clinical infectious diseases,783
scientific reports,quaternary international,782
the cochrane database of systematic reviews,archives of internal medicine,782
science,astrophysical journal,782
journal of biological chemistry,cellular and molecular life sciences,782
nature,annual review of earth and planetary sciences,781
nature,j neurosci,780
the astrophysical journal,monthly notices of the royal astronomical society letters,780
science,plant physiology,780
nature,physical review d,780
icarus,astrobiology,779
historical biology an international journal of paleobiology,quaternary international,779
science,astronomy  astrophysics,779
science,nature reviews neuroscience,777
pnas,trends in biochemical sciences,777
journal of biological chemistry,mol syst biol,776
bull amer math soc,trans amer math soc,775
russian history,europeasia studies,774
cretaceous research,lethaia,774
nature,biophysical journal,774
historical biology an international journal of paleobiology,review of palaeobotany and palynology,773
physical review d,classical and quantum gravity,772
slavic review,political science quarterly,772
plos one,geodiversitas,771
astronomy and astrophysics,the astrophysical journal supplement series,771
cretaceous research,historical biology,771
cretaceous research,american journal of botany,771
pnas,proceedings of the royal society b,770
the embo journal,journal of molecular biology,770
historical biology an international journal of paleobiology,geobios,770
science,current anthropology,769
palaeogeography palaeoclimatology palaeoecology,palaeoworld,769
paleontological journal,geobios,768
the journal of the acoustical society of america,journal of the association for research in otolaryngology,767
science,philosophical transactions of the royal society of london series b biological sciences,767
pnas,embo reports,766
monthly notices of the royal astronomical society,publications of the astronomical society of the pacific,766
scientific reports,review of palaeobotany and palynology,765
malakozoologische blxe4tter,jahrbxfccher der deutschen malakozoologischen gesellschaft,765
science,nature structural  molecular biology,763
science,j bacteriol,763
science,angewandte chemie international edition,762
peerj,palaeobiodiversity and palaeoenvironments,762
professional school counseling,journal of counseling and development,762
the astrophysical journal,astronomical journal,761
journal of personality and social psychology,journal of personality,761
journal of biological chemistry,journal of molecular and cellular cardiology,760
palaeontology,paleobiology,759
genome res,biochim biophys acta,759
nature,structure,759
oncogene,the biochemical journal,759
nature,philosophical transactions of the royal society b biological sciences,759
zootaxa,gondwana research,757
journal of geophysical research,j geophys res,757
physical review,physics letters,757
journal of biological chemistry,genes cells,757
astronomy and astrophysics,the astrophysical journal letters,756
paleontological journal,palxe4ontologische zeitschrift,756
journal of paleontology,biology letters,756
review of palaeobotany and palynology,phytotaxa,755
pnas,cold spring harbor perspectives in biology,754
science,philosophical transactions of the royal society b,754
journal of biological chemistry,plos genetics,754
professional school counseling,theory into practice,753
plos one,journal of anatomy,752
nature,acs nano,752
zootaxa,novitates paleoentomologicae,752
professional school counseling,journal of individual psychology,752
science,cancer res,752
cretaceous research,the canadian entomologist,751
scientific reports,precambrian research,751
journal of biological chemistry,biochemical society transactions,750
the namesforlife abstracts,wwwdsmzde,750
nature,comptes rendus palevol,748
plos one,palz,748
science,nature nanotechnology,748
pnas,geophysical research letters,747
journal of biological chemistry,int j cancer,747
jama,n engl j med,747
scientific reports,nature geoscience,746
nature,microbiology and molecular biology reviews,746
nature communications,nature geoscience,745
gene,biochemical and biophysical research communications,745
palaeogeography palaeoclimatology palaeoecology,nature geoscience,745
current biology,palaeontology,745
science,journal of experimental biology,745
science,rna,744
zootaxa,geobios,744
cell,nature medicine,744
science,mol cell,743
the astronomical journal,astrophysical journal,743
nature,angewandte chemie international edition,743
plos one,anais da academia brasileira de cixeancias,743
historical biology an international journal of paleobiology,science advances,742
pnas,j clin invest,742
nature,developmental biology,742
science,physical review,741
molecular and cellular biology,gene,741
historical biology an international journal of paleobiology,geodiversitas,741
plos one,elife,741
palaeogeography palaeoclimatology palaeoecology,geobios,740
journal of biological chemistry,european journal of immunology,740
applied physics letters,journal of applied physics,738
pnas,nature reviews neuroscience,738
physical review letters,new journal of physics,737
journal of the american chemical society,organometallics,737
journal of vertebrate paleontology,bulletin of the american museum of natural history,737
nature,plos pathogens,736
nature,nature physics,736
the slavonic and east european review,the slavic and east european journal,736
journal of paleontology,palxe4ontologische zeitschrift,734
paleontological journal,royal society open science,734
pnas,papers in palaeontology,733
journal of biological chemistry,developmental cell,732
science,genes dev,732
the biochemical journal,biochemical and biophysical research communications,732
circulation,resuscitation,732
journal of mammalian evolution,quaternary international,731
journal of cetacean research and management,marine mammal science,731
science,j neurosci,730
mycologia,mycological research,729
science,geophys res lett,729
journal of the american chemical society,chemical society reviews,729
cell,nature methods,729
science,applied and environmental microbiology,728
journal of vertebrate paleontology,annals of carnegie museum,728
proceedings of the royal society b biological sciences,science advances,727
science,j mol biol,727
cell,nature reviews genetics,727
j immunol,j exp med,726
nature,j immunol,726
journal of systematic palaeontology,geobios,726
nature,cell cycle,726
nature,the journal of experimental medicine,725
inside soap,tv soap,724
journal of systematic palaeontology,journal of human evolution,724
peerj,geobios,723
proceedings of the royal society b biological sciences,animal behaviour,723
mol cell biol,febs lett,723
nature,trends in biochemical sciences,723
historical biology an international journal of paleobiology,paleobiology,722
pnas,european journal of human genetics,721
genome res,hum mol genet,721
pnas,nat cell biol,721
physical review d,nuclear physics b,721
billboard,jet,720
cell,american journal of human genetics,720
malakozoologische blxe4tter,nachrichtenblatt der deutschen malakozoologischen gesellschaft,720
astronomy  astrophysics,the astrophysical journal letters,719
pnas,journal of anatomy,719
nucleic acids research,nature methods,719
science,advanced materials,718
nature,systematic biology,718
pnas,cell reports,718
pnas,cytogenet cell genet,717
journal of paleontology,palaeobiodiversity and palaeoenvironments,717
molecular and cellular biology,febs letters,717
plos one,gene,715
nat genet,dna res,715
nature,annual review of genetics,715
plos one,molecular ecology,715
physical review b,journal of physics condensed matter,714
europeasia studies,soviet studies,714
journal of vertebrate paleontology,acta geologica sinica english edition,714
nature,molecular phylogenetics and evolution,713
zootaxa,proceedings of the geologists association,711
pnas,the plant cell,711
journal of virology,plos pathogens,711
palaeontology,vertebrata palasiatica,710
pnas,astrobiology,709
science,analytical chemistry,709
acta palaeontologica polonica,ameghiniana,708
palaeoentomology,earth and environmental science transactions of the royal society of edinburgh,708
pnas,systematic biology,708
the cochrane database of systematic reviews,stroke,708
acta palaeontologica polonica,bulletin of geosciences,707
science,journal of immunology,707
science,cell reports,707
journal of vertebrate paleontology,earth and environmental science transactions of the royal society of edinburgh,706
nature communications,papers in palaeontology,706
neurology,annals of neurology,705
plos one,the journal of cell biology,705
cretaceous research,paleobiology,705
the astronomical journal,publications of the astronomical society of the pacific,705
nature,nature immunology,705
journal of paleontology,bmc evolutionary biology,703
paleontological journal,fossil record,702
analytical chemistry,the analyst,702
journal of biological chemistry,dna research,702
acta palaeontologica polonica,american museum novitates,702
molecular biology and evolution,bmc evolutionary biology,701
palaeogeography palaeoclimatology palaeoecology,quaternary international,701
journal of biological chemistry,genes to cells,700
zootaxa,journal of crustacean biology,700
genomics,febs lett,700
monthly notices of the royal astronomical society,the astrophysical journal supplement series,699
geology,nature geoscience,699
journal of biological chemistry,rna,699
development,developmental biology,699
embo j,genes dev,698
palaeoentomology,zookeys,698
journal of biological chemistry,cancer cell,698
cretaceous research,new mexico museum of natural history and science bulletin,697
the new england journal of medicine,circulation,697
sabretache journal of the military historical society of australia,wartime,696
peerj,geological magazine,696
geophysical research letters,nature geoscience,696
paleontological journal,american museum novitates,696
journal of vertebrate paleontology,bmc evolutionary biology,695
pnas,molecular endocrinology,694
nature communications,paleobiology,694
plos one,new mexico museum of natural history and science bulletin,694
science,journal of anatomy,694
journal of vertebrate paleontology,proceedings of the royal society b,693
plos one,journal of archaeological science,693
journal of biological chemistry,the american journal of pathology,692
nature,reviews of modern physics,692
scientific reports,canadian journal of earth sciences,691
the cochrane database of systematic reviews,the american journal of medicine,690
journal of biological chemistry,the journal of investigative dermatology,690
scientific reports,journal of anatomy,690
nature,virology,690
molecular and cellular biology,journal of cell science,690
the slavonic and east european review,the american historical review,689
pnas,icarus,689
nature,physical review a,688
peerj,palaeoworld,688
flight international,laxe9rophile,688
cell,cell stem cell,687
plos one,molecular cell,687
american journal of physical anthropology,annals of human genetics,687
molecular and cellular biology,blood,687
acta palaeontologica polonica,geological magazine,687
cretaceous research,rivista italiana di paleontologia e stratigrafia,686
wwwdsmzde,wwwstraininfonet,686
journal of systematic palaeontology,palz,686
nano letters,advanced materials,685
pnas,the cochrane database of systematic reviews,684
lancet,vaccine,684
science,journal of molecular evolution,684
scientific reports,gondwana research,684
the cochrane database of systematic reviews,the journal of clinical psychiatry,683
palaeoentomology,palaeontologia electronica,682
plos one,journal of zoology,682
journal of biological chemistry,neurology,682
paleontological journal,russian entomological journal,681
pnas,developmental biology,681
neuron,j neurosci,680
nature,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,679
paleontological journal,palaeoworld,679
billboard,entertainment weekly,679
nature,journal of zoology,678
paleontological journal,paleontological research,677
nature,biological reviews,677
plos one,cancer research,677
optics express,optics letters,677
nucleic acids research,rna,676
nature,hum mol genet,676
journal of vertebrate paleontology,frontiers in ecology and evolution,675
cell,curr biol,675
malakozoologische blxe4tter,conchologische mittheilungen,675
journal of geophysical research,earth and planetary science letters,674
zootaxa,bulletin of the mizunami fossil museum,674
nature,canadian journal of earth sciences,674
journal of biological chemistry,journal of cellular biochemistry,673
lancet,annals of the royal college of surgeons of england,673
russian history,the russian review,673
journal of systematic palaeontology,journal of south american earth sciences,673
acta palaeontologica polonica,canadian journal of earth sciences,673
peerj,geology,672
cretaceous research,cladistics,672
science,biophysical journal,672
bioinformatics,nature methods,671
genome res,mol biol cell,671
bioinformatics,rna,671
pnas,bioscience,670
journal of systematic palaeontology,review of palaeobotany and palynology,670
nature,chemical reviews,670
proceedings of the royal society b biological sciences,papers in palaeontology,669
pnas,circulation research,668
pnas,antiquity,667
cell,cell cycle,667
journal of biological chemistry,j biochem,666
the cochrane database of systematic reviews,rheumatology,665
journal of virology,the journal of general virology,665
journal of personality and social psychology,child development,665
historical biology an international journal of paleobiology,palaeobiodiversity and palaeoenvironments,664
nature,lethaia,662
nano letters,applied physics letters,662
zoological journal of the linnean society,vertebrata palasiatica,662
journal of paleontology,geodiversitas,662
journal of biological chemistry,bioessays,661
palaeontology,nature ecology  evolution,661
biochem biophys res commun,j cell biol,660
international journal of systematic and evolutionary microbiology,wwwstraininfonet,660
journal of paleontology,review of palaeobotany and palynology,660
circulation,european heart journal,659
journal of systematic palaeontology,geodiversitas,659
american journal of botany,botanical journal of the linnean society,659
paleontological journal,bmc evolutionary biology,659
pnas,the astrophysical journal,659
oncogene,nat genet,659
