,journal1,journal2,weight
168,cretaceous research,zoological journal of the linnean society,3885
169,genes  development,journal of biological chemistry,3865
170,monthly notices of the royal astronomical society,monthly notices of the royal astronomical society,3852
171,historical biology an international journal of paleobiology,plos one,3824
172,lancet,nature,3823
173,journal of human evolution,science,3822
174,nature communications,scientific reports,3795
175,palaeogeography palaeoclimatology palaeoecology,scientific reports,3734
176,nature communications,plos one,3730
177,econometrica,econometrica,3695
178,bioinformatics,bioinformatics,3660
179,genome research,nature,3631
180,journal of biological chemistry,journal of molecular biology,3630
181,monthly notices of the royal astronomical society,the astronomical journal,3618
182,cretaceous research,palaeontology,3611
183,the journal of modern history,the slavonic and east european review,3601
184,russian history,slavic review,3597
185,nucleic acids res,pnas,3597
186,astronomy and astrophysics,the astronomical journal,3595
187,science,the astrophysical journal,3592
188,plos one,zootaxa,3584
189,journal of counseling  development,professional school counseling,3583
190,physical review letters,science,3570
191,spine,spine,3540
192,journal of biological chemistry,nucleic acids res,3537
193,current biology,plos one,3467
194,journal of systematic palaeontology,plos one,3464
195,biochem biophys res commun,pnas,3453
196,nature,oncogene,3451
197,astronomy  astrophysics,astronomy and astrophysics,3436
198,journal of paleontology,palaeontology,3428
199,gene,nature,3425
200,genomics,nature,3416
201,peerj,peerj,3399
202,cretaceous research,nature communications,3392
203,the record,the record,3378
204,nucleic acids research,science,3376
205,alcheringa an australasian journal of palaeontology,zootaxa,3357
206,bioinformatics,nucleic acids research,3342
207,journal of paleontology,journal of paleontology,3329
208,journal of biological chemistry,journal of immunology,3329
209,journal of systematic palaeontology,paleontological journal,3327
210,nature genetics,pnas,3323
211,nature,the embo journal,3312
212,astronomy  astrophysics,monthly notices of the royal astronomical society,3311
213,angewandte chemie international edition,journal of the american chemical society,3307
214,cell,molecular and cellular biology,3302
215,cretaceous research,proceedings of the royal society b biological sciences,3302
216,cretaceous research,current biology,3293
217,journal of vertebrate paleontology,science,3286
218,journal of virology,pnas,3280
219,journal of vertebrate paleontology,pnas,3269
220,geophysical research letters,science,3263
221,journal of molecular biology,pnas,3259
222,journal of paleontology,journal of systematic palaeontology,3245
223,cancer res,journal of biological chemistry,3241
224,palaeoentomology,zootaxa,3236
225,journal of vertebrate paleontology,paleontological journal,3202
226,malakozoologische blxe4tter,sitzungsberichte der gesellschaft naturforschender freunde zu berlin,3195
227,biochim biophys acta,journal of biological chemistry,3192
228,plos one,proceedings of the royal society b biological sciences,3176
229,journal of vertebrate paleontology,palaeontologia electronica,3167
230,historical biology an international journal of paleobiology,zootaxa,3158
231,plos one,zoological journal of the linnean society,3157
232,nature genetics,science,3154
233,gigascience,gigascience,3149
234,cell,oncogene,3147
235,blood,pnas,3134
236,molecular and cellular biology,nature,3131
237,the astronomical journal,the astronomical journal,3130
238,jama,the cochrane database of systematic reviews,3130
239,acta palaeontologica polonica,peerj,3123
240,embo j,pnas,3120
241,gene,genome res,3120
242,paleontological journal,plos one,3110
243,the skeptic,the skeptic,3104
244,pnas,the biochemical journal,3103
245,genome research,pnas,3032
246,blood,blood,3020
247,acta palaeontologica polonica,journal of paleontology,3019
248,cell,plos one,3014
249,journal of vertebrate paleontology,zootaxa,3010
250,journal of biological chemistry,nature genetics,3008
251,journal of virology,journal of virology,3008
252,icarus,journal of geophysical research,3006
253,nucleic acids res,nucleic acids res,3005
