Title,page_title
"The pantothenate-synthesizing enzyme in cell-free extracts of Brucella abortus, strain 19",pantoate—beta-alanine ligase
A new generic system for the pantropical Caesalpinia group (Leguminosae),biancaea
A new generic system for the pantropical Caesalpinia group (Leguminosae),mezoneuron andamanicum
Resistance of high fitness hepatitis C virus to lethal mutagenesis,viral quasispecies
Application of drug nanocrystal technologies on oral drug delivery of poorly soluble drugs,nanomedicine
Active Crohn's disease patients show a distinctive expansion of circulating memory CD4+CD45RO+CD28null T cells,stichodactyla toxin
A molecular phylogenetic approach to western North America endemic Artemisia and allies (Asteraceae): untangling the sagebrushes,artemisia (genus)
CpG islands in vertebrate genomes,dna methylation
Extension of the replicative life span of human diploid fibroblasts by inhibition of the p33ING1 candidate tumor suppressor,ing1
The DNA repair endonuclease XPG binds to proliferating cell nuclear antigen (PCNA) and shares sequence elements with the PCNA-binding regions of FEN-1 and cyclin-dependent kinase inhibitor p21,flap structure-specific endonuclease 1
Brain development is a multi-level regulated process--the case of the OTX2 gene,orthodenticle homeobox 2
Tip60 and histone deacetylase 1 regulate androgen receptor activity through changes to the acetylation status of the receptor,metabotropic glutamate receptor 4
The inhibition of the human cholesterol 7alpha-hydroxylase gene (CYP7A1) promoter by fibrates in cultured cells is mediated via the liver x receptor alpha and peroxisome proliferator-activated receptor alpha heterodimer,cholesterol 7 alpha-hydroxylase
Transcriptional activators of human genes with programmable DNA-specificity,transcription activator-like effector nuclease
Molecular cloning and expression of human tumor-associated polymorphic epithelial mucin,muc1
The synucleins,alpha-synuclein
Purification and molecular identification of two protein methylases I from calf brain. Myelin basic protein- and histone-specific enzyme,(myelin basic protein)-arginine n-methyltransferase
Structural and dynamic characterization of a vinculin binding site in the talin rod,vinculin
Expert consensus document: A consensus on the medical treatment of acromegaly,insulin-like growth factor 1
Sortilin mediates vascular calcification via its recruitment into extracellular vesicles,sortilin 1
Death by deamination: a novel host restriction system for HIV-1,psmb2
Isolation of a polypeptide that has lymphocyte-differentiating properties and is probably represented universally in living cells,ubiquitin-like protein
Prostacyclin therapies for the treatment of pulmonary arterial hypertension,pulmonary hypertension
"The evolutionary enigma of mixed mating systems in plants: Occurrence, theoretical explanations, and empirical evidence",fertilisation
Medical consequences of marijuana use: a review of current literature,effects of cannabis
Endogenous KCNE subunits govern Kv2.1 K+ channel activation kinetics in Xenopus oocyte studies,kcne3
An epigenetic blockade of cognitive functions in the neurodegenerating brain,epigenetics of neurodegenerative diseases
Molecular cloning and immunogenicity of renal cell carcinoma-associated antigen G250,carbonic anhydrase 9
Dysregulation of the dopamine system in the pathophysiology of schizophrenia and depression,schizophrenia
Lymphedema: Pathophysiology and clinical manifestations,lymphedema
Prp8 protein: at the heart of the spliceosome,prp8
The vitamin fraud in cancer quackery,amygdalin
The tripotential glial-restricted precursor (GRP) cell and glial development in the spinal cord: generation of bipotential oligodendrocyte-type-2 astrocyte progenitor cells and dorsal-ventral differences in GRP cell function,astrocyte
Gibberellin metabolism enzymes in rice,plant hormone
Oxytocin increases anxiety to unpredictable threat,oxytocin
Progestin-only pills for contraception,progestogen (medication)
Human monoamine oxidase A and B genes exhibit identical exon-intron organization,monoamine oxidase a
A gated channel into the proteasome core particle,psmb8
The neural basis of intermittent motor control in humans,neural oscillation
"CONTRAST: a discriminative, phylogeny-free approach to multiple informant de novo gene prediction",gene prediction
Engagement of the CrkL adaptor in interferon alpha signalling in BCR-ABL-expressing cells,rapgef1
Depletion of Abundant Sequences by Hybridization (DASH): using Cas9 to remove unwanted high-abundance species in sequencing libraries and molecular counting applications,crispr gene editing
Inappropriate sexual behaviors in cognitively impaired older individuals,cyproterone acetate
The socially-isolated mouse: a model to study the putative role of allopregnanolone and 5alpha-dihydroprogesterone in psychiatric disorders,5α-dihydroprogesterone
"Celiac disease: prevalence, diagnosis, pathogenesis and treatment.",coeliac disease
Sp1 upregulates the four and half lim 2 (FHL2) expression in gastrointestinal cancers through transcription regulation,fhl2
Co-expressed recombinant human Translin-Trax complex binds DNA,translin-associated factor x
Afghanistan's ethnic groups share a Y-chromosomal heritage structured by historical events,haplogroup j-m172
"Architectonic identification of the core region in auditory cortex of macaques, chimpanzees, and humans",tonotopy
Cyclosporin versus tacrolimus for liver transplanted patients,tacrolimus
Dioxygenases catalyze the O-demethylation steps of morphine biosynthesis in opium poppy,codeine 3-o-demethylase
Biosynthesis of amphetamine analogs in plants,amphetamine
Weight-reducing effects of the plasma protein encoded by the obese gene,leptin
Smad7 induces hepatic metastasis in colorectal cancer,mothers against decapentaplegic homolog 7
"Synthesis and biological activity of a novel series of nonsteroidal, peripherally selective androgen receptor antagonists derived from 1,2-dihydropyridono[5,6-g]quinolines",pharmacology of bicalutamide
Primary structure and functional characterization of a human 5-HT1D-type serotonin receptor,meta-chlorophenylpiperazine
Y chromosomal DNA variation and the peopling of Japan,genetic history of east asians
A controlled trial of two nucleoside analogues plus indinavir in persons with human immunodeficiency virus infection and CD4 cell counts of 200 per cubic millimeter or less. AIDS Clinical Trials Group 320 Study Team,management of hiv/aids
Slit-mediated repulsion is a key regulator of motor axon pathfinding in the hindbrain,slit1
"Epithelial sodium channel (ENaC) family: Phylogeny, structure-function, tissue distribution, and associated inherited diseases",ion channel
Comparative genomic characterization of the multimammate mouse Mastomys coucha,list of sequenced animal genomes
DNA adduct formation in precision-cut rat liver and lung slices exposed to benzo[a]pyrene,aryl hydrocarbon receptor
Calculating sample size estimates for RNA sequencing data,transcriptomics technologies
Studies on liver threonine dehydrogenase,l-threonine 3-dehydrogenase
The DNA sequence of human chromosome 21,folate transporter 1
"[Human serum proteins with high affinity for carboxymethylcellulose. I. Isolation of lysozyme, C1q and 2 hitherto unknown -globulins]",histidine-rich glycoprotein
Control of NF-kappa B transcriptional activation by signal induced proteolysis of I kappa B alpha.,iκbα
Innate immune recognition and suppression of tumors,immune system
Urinary protein C inhibitor binding region in the A alpha-chain of human fibrinogen,protein c inhibitor
Aspirin and risk of hemorrhagic stroke: a meta-analysis of randomized controlled trials,aspirin
Colloidal Au-Enhanced Surface Plasmon Resonance for Ultrasensitive Detection of DNA Hybridization,colloidal gold
Serum amyloid A is an endogenous ligand that differentially induces IL-12 and IL-23,serum amyloid a1
Expression and significance of Wnt signaling components and their target genes in breast carcinoma,cyclin d1
Biological identifications through DNA barcodes,fungal dna barcoding
Parenteral estrogen versus total androgen ablation in the treatment of advanced prostate carcinoma: effects on overall survival and cardiovascular mortality. The Scandinavian Prostatic Cancer Group (SPCG)-5 Trial Study,polyestradiol phosphate
Pleural fluid chemical analysis in parapneumonic effusions. A meta-analysis,pleural empyema
A mild treatment strategy for in-vitro fertilisation: a randomised non-inferiority trial,in vitro fertilisation
Two functionally distinct alpha2-adrenergic receptors regulate sympathetic neurotransmission,alpha-2c adrenergic receptor
Hydrophobins: proteins with potential,hydrophobin
Intracellular functions of N-linked glycans,lipid
"The eradication of smallpox--an overview of the past, present, and future",smallpox
The Cockayne syndrome group A gene encodes a WD repeat protein that interacts with CSB protein and a subunit of RNA polymerase II TFIIH,gtf2h2
Expanding the ubiquitin code through post-translational modification,ubiquitin ligase
Methylation-specific PCR: a novel PCR assay for methylation status of CpG islands,bisulfite sequencing
Nucleolus: from structure to dynamics,cell nucleus
